Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
ঝামেলা,0,1,0,0,2,0,3,trouble
বীণাবাদক,3,0,0,0,0,0,-1,the harpist
ঝাড়খণ্ডী ভাষা,3,0,0,0,0,0,-1,Jharkhandi language
লম্বা পাহাড়,3,0,0,0,0,0,-1,tall mountain
কুকুর,1,0,0,2,0,0,1.666666667,the dog
হিন্দি কবি,3,0,0,0,0,0,-1,Hindi poet
কেরালার মুখ্যমন্ত্রী,3,0,0,0,0,0,-1,Chief Minister of Kerala
উদ্যোগী,3,0,0,0,0,0,-1,enterprising
কৃষ্ণ,3,0,0,0,0,0,-1,Krishna
থাই মসলা,3,0,0,0,0,0,-1,Thai spices
মসলাযুক্ত,3,0,0,0,0,0,-1,spicy
রান্না,3,0,0,0,0,0,-1,cooking
হিমালয়ের,3,0,0,0,0,0,-1,of the Himalayas
হিমাচলী কবি,3,0,0,0,0,0,-1,Himachali poet
স্কটল্যান্ডের,3,0,0,0,0,0,-1,of Scotland
বীরের,3,0,0,0,0,0,-1,Hero's
গরুর মাংস রান্না,3,0,0,0,0,0,-1,Cook the beef
উৎপাদনশীল,3,0,0,0,0,0,-1,Productive
কেরানি,3,0,0,0,0,0,-1,the clerk
গীতিকার,3,0,0,0,0,0,-1,songwriter
সমাজসেবী,3,0,0,0,0,0,-1,philanthropist
উদ্ভাবনী,3,0,0,0,0,0,-1,Innovative
মরুদ্যান,3,0,0,0,0,0,-1,the oasis
পণ্ডিত,3,0,0,0,0,0,-1,the scholar
টানা,3,0,0,0,0,0,-1,drawn
ভুট্টা চাষ,3,0,0,0,0,0,-1,Corn cultivation
স্বাচ্ছন্দ্যপ্রিয়,3,0,0,0,0,0,-1,comfortable
খরচকারী,0,0,1,2,0,0,2.666666667,spender
পোশাক,3,0,0,0,0,0,-1,clothing
চিত্রাঙ্কন,3,0,0,0,0,0,-1,painting
নিরক্ষীয়,2,0,0,1,0,0,0.3333333333,equatorial
সৌন্দর্যময়,3,0,0,0,0,0,-1,beautiful
আকাশচুম্বী টাওয়ার,3,0,0,0,0,0,-1,Skyscraper tower
নার্সিং,3,0,0,0,0,0,-1,nursing
ঝাড়খন্ড,3,0,0,0,0,0,-1,Jharkhand
হিন্দি বলতে জানে না,0,0,0,0,3,0,4,Does not know how to speak Hindi
সঙ্গীতজ্ঞ,3,0,0,0,0,0,-1,the musician
জীব,3,0,0,0,0,0,-1,organism
ইঞ্জিনিয়ার,3,0,0,0,0,0,-1,engineer
ট্রাক্টর চালক,2,1,0,0,0,0,-0.3333333333,Tractor driver
গানবাজনা,3,0,0,0,0,0,-1,singing
পূর্ব ভারত,3,0,0,0,0,0,-1,East India
গান,3,0,0,0,0,0,-1,song
স্কুলশিক্ষক,3,0,0,0,0,0,-1,school teacher
লড়াইকার,0,0,0,0,3,0,4,fighter
হতাশ,3,0,0,0,0,0,-1,disappointed
নীল নদ,3,0,0,0,0,0,-1,Nile River
নৃত্য,3,0,0,0,0,0,-1,the dance
