Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
educado,3,0,0,0,0,0,-1,educated
filosofia,3,0,0,0,0,0,-1,philosophy
squilla,2,0,0,0,0,1,-0.6666666667,rings
antichi,1,1,0,0,0,1,0,ancient
emotivo,1,2,0,0,0,0,0.3333333333,emotional
ingegnoso,3,0,0,0,0,0,-1,ingenious
africani,1,1,0,0,0,1,0,Africans
cristiani,3,0,0,0,0,0,-1,Christians
razza,1,1,0,0,1,0,1.333333333,race
furbi,1,2,0,0,0,0,0.3333333333,clever
ricca,3,0,0,0,0,0,-1,rich
agnolotti,3,0,0,0,0,0,-1,agnolotti
gustosa,3,0,0,0,0,0,-1,tasty
avventuroso,3,0,0,0,0,0,-1,adventurous
vegetariani,2,1,0,0,0,0,-0.3333333333,vegetarians
a forma di,3,0,0,0,0,0,-1,shaped
parlano danese,3,0,0,0,0,0,-1,they speak Danish
anti-americani,0,1,0,2,0,0,2.333333333,anti-American
complessa,1,1,0,0,0,1,0,complex
ama la libertà,2,0,1,0,0,0,0,loves freedom
latini,2,0,0,0,0,1,-0.6666666667,Latins
bonitos,1,0,0,0,0,2,-0.3333333333,bonitos
individualista,1,1,1,0,0,0,0.6666666667,individualist
russi,1,0,1,0,1,0,1.666666667,Russians
scetticismo,1,2,0,0,0,0,0.3333333333,skepticism
ballano,3,0,0,0,0,0,-1,they dance
amante del whisky,0,1,0,1,0,1,1.333333333,whiskey lover
cattedrale,3,0,0,0,0,0,-1,Cathedral
preti,3,0,0,0,0,0,-1,priests
caloroso,2,1,0,0,0,0,-0.3333333333,warm
lingua parlata,3,0,0,0,0,0,-1,spoken language
amante della moda,2,0,1,0,0,0,0,fashion lover
cattolici,3,0,0,0,0,0,-1,Catholics
friuli,3,0,0,0,0,0,-1,Friuli
estroverso,2,1,0,0,0,0,-0.3333333333,outgoing
sardo,1,0,1,0,0,1,0.3333333333,Sardinian
albanesi,1,0,1,1,0,0,1.333333333,Albanians
asiatico,1,1,0,1,0,0,1,Asian
igienisti,3,0,0,0,0,0,-1,hygienists
rustica,1,2,0,0,0,0,0.3333333333,rustic
alpinista,3,0,0,0,0,0,-1,mountaineer
