Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
trabalhadores,3,0,0,0,0,0,-1,workers
inadequado,2,1,0,0,0,0,-0.3333333333,inappropriate
vegetariano,3,0,0,0,0,0,-1,vegetarian
mediterrânicas,3,0,0,0,0,0,-1,Mediterranean
homens,3,0,0,0,0,0,-1,men
músicos,3,0,0,0,0,0,-1,musicians
prepotentes,0,1,2,0,0,0,1.666666667,arrogant
futebol,3,0,0,0,0,0,-1,soccer
bons em xadrez,3,0,0,0,0,0,-1,good at chess
dançam muito,3,0,0,0,0,0,-1,they dance a lot
mais complexo,3,0,0,0,0,0,-1,more complex
sem cauda,3,0,0,0,0,0,-1,tailless
comida,3,0,0,0,0,0,-1,food
rápidas,2,0,0,0,0,1,-0.6666666667,quick
autoritária,1,1,1,0,0,0,0.6666666667,authoritarian
disciplinado,3,0,0,0,0,0,-1,disciplined
lémures,2,1,0,0,0,0,-0.3333333333,lemurs
falado em espanha,3,0,0,0,0,0,-1,spoken in Spain
adoram cozinhar,2,1,0,0,0,0,-0.3333333333,love to cook
navios de vela,3,0,0,0,0,0,-1,sailing ships
azeiteiro,0,0,2,1,0,0,2.333333333,olive oil seller
racista,0,1,0,0,2,0,3,racist
praia paradisíaca,3,0,0,0,0,0,-1,paradise beach
torcedores,3,0,0,0,0,0,-1,fans
nômade,3,0,0,0,0,0,-1,nomadic
gananciosas,0,1,1,1,0,0,2,greedy
cabeludos,2,0,0,1,0,0,0.3333333333,hairy
gostam de música clássica,3,0,0,0,0,0,-1,like classical music
vivem na itália,3,0,0,0,0,0,-1,live in Italy
vegetariana,3,0,0,0,0,0,-1,vegetarian
francês,3,0,0,0,0,0,-1,French
maratonistas,3,0,0,0,0,0,-1,marathon runners
gostam de salsicha,2,1,0,0,0,0,-0.3333333333,they like sausage
marrom,2,0,0,0,1,0,0.6666666667,brown
comiam tripas,2,0,0,1,0,0,0.3333333333,they ate tripe
letões,3,0,0,0,0,0,-1,Latvians
com sotaque,2,1,0,0,0,0,-0.3333333333,with accent
português,3,0,0,0,0,0,-1,Portuguese
picante,3,0,0,0,0,0,-1,spicy
estudante,3,0,0,0,0,0,-1,student
bêbado,1,1,0,0,1,0,1.333333333,drunk
salgado,3,0,0,0,0,0,-1,salty
cativante,3,0,0,0,0,0,-1,captivating
europeu,3,0,0,0,0,0,-1,European
italiana,3,0,0,0,0,0,-1,Italian
idealistas,2,0,0,0,0,1,-0.6666666667,idealists
alpinistas,3,0,0,0,0,0,-1,Mountain climbers
falastrões,0,2,0,1,0,0,1.666666667,loudmouths
ucraniano,2,0,0,1,0,0,0.3333333333,Ukrainian
cantor,3,0,0,0,0,0,-1,singer
