Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
taliban,0,0,0,1,2,0,3.666666667,Taliban
terroriste,0,0,1,0,2,0,3.333333333,terrorist
sanguinaire,0,0,1,0,2,0,3.333333333,bloodthirsty
génocidaire,0,0,1,0,2,0,3.333333333,genocidal
trafiquants de drogue,0,0,1,0,2,0,3.333333333,drug traffickers
criminel,0,1,0,0,2,0,3,criminal
voleur,0,1,0,0,2,0,3,thief
barbare,0,0,1,1,1,0,3,barbaric
sont des voleurs,0,1,0,0,2,0,3,are thieves
nazis,0,1,0,0,2,0,3,Nazis
gros,0,0,1,2,0,0,2.666666667,fat
grosse,0,0,1,2,0,0,2.666666667,fat
voyous,0,1,0,1,1,0,2.666666667,thugs
alcoolique,0,0,1,2,0,0,2.666666667,alcoholic
arriérées,0,0,2,0,1,0,2.666666667,arrears
bandits,0,1,0,1,1,0,2.666666667,bandits
raciste,0,0,1,2,0,0,2.666666667,racist
trafiquant,0,1,0,1,1,0,2.666666667,trafficker
lourds,0,1,0,2,0,0,2.333333333,heavy
violent,0,1,0,2,0,0,2.333333333,violent
stupide,0,1,0,2,0,0,2.333333333,stupid
belliqueux,0,1,0,2,0,0,2.333333333,warlike
colonisateur,0,0,2,1,0,0,2.333333333,colonizer
sauvage,0,1,1,0,1,0,2.333333333,savage
corrompus,0,1,1,0,1,0,2.333333333,corrupted
obèse,0,1,1,1,0,0,2,obese
docile,0,1,1,1,0,0,2,docile
primitif,0,1,1,1,0,0,2,primitive
agressif,0,1,1,1,0,0,2,aggressive
macho,0,1,1,1,0,0,2,macho
grossier,0,1,1,1,0,0,2,rude
gauchiste,0,0,3,0,0,0,2,leftist
fainéant,0,1,1,1,0,0,2,lazy
aiment la bagarre,0,1,1,1,0,0,2,like a fight
irascible,0,1,1,1,0,0,2,irascible
beauf,0,1,1,1,0,0,2,beauf
gâteux,0,1,1,1,0,0,2,cakey
envahisseur,0,1,1,1,0,0,2,invader
mous,0,1,2,0,0,0,1.666666667,soft
superficiel,0,1,2,0,0,0,1.666666667,superficial
dominateur,0,1,2,0,0,0,1.666666667,domineering
snob,0,1,2,0,0,0,1.666666667,snob
paresseux,0,2,0,1,0,0,1.666666667,lazy
peu cultivés,1,0,0,2,0,0,1.666666667,little cultivated
arrogant,0,1,2,0,0,0,1.666666667,arrogant
égoïstes,0,1,2,0,0,0,1.666666667,selfish
gras,0,1,2,0,0,0,1.666666667,fat
orgueilleux,0,2,1,0,0,0,1.333333333,proud
dents gâtées,1,0,1,1,0,0,1.333333333,spoiled teeth
autoritaire,0,2,1,0,0,0,1.333333333,authoritarian
aiment la vendetta,0,0,2,0,0,1,1.333333333,love vendetta
victime,0,2,1,0,0,0,1.333333333,victim
génocide,1,1,0,0,1,0,1.333333333,genocide
râleur,0,2,1,0,0,0,1.333333333,complainer
narcotrafiquant,1,1,0,0,1,0,1.333333333,drug trafficker
trapus,0,2,1,0,0,0,1.333333333,stocky
lent,1,0,1,1,0,0,1.333333333,slow
méchant,1,0,1,1,0,0,1.333333333,wicked
bagarreur,1,0,1,1,0,0,1.333333333,brawler
aime boire,0,2,1,0,0,0,1.333333333,likes to drink
pirate,1,0,1,1,0,0,1.333333333,pirate
pauvre,1,1,0,1,0,0,1,poor
bagnard,1,1,0,1,0,0,1,convict
démunis,1,1,0,1,0,0,1,deprived
individualiste,0,3,0,0,0,0,1,individualistic
sdf,1,1,0,1,0,0,1,homeless
hostiles,1,0,2,0,0,0,1,hostile
réfugié,1,1,0,1,0,0,1,refugee
buvaient beaucoup,1,1,0,1,0,0,1,drank a lot
mauvais en cuisine,1,0,2,0,0,0,1,bad at cooking
têtue,1,0,2,0,0,0,1,stubborn
turbulents,0,3,0,0,0,0,1,turbulent
indolents,1,0,2,0,0,0,1,indolent
énorme,1,1,0,1,0,0,1,huge
sioniste,1,0,2,0,0,0,1,Zionist
énervé,1,0,2,0,0,0,1,irritated
drogue,1,1,0,1,0,0,1,drug
nationaliste,1,1,1,0,0,0,0.6666666667,nationalist
nerveux,1,1,1,0,0,0,0.6666666667,nervous
petit,1,1,1,0,0,0,0.6666666667,little
terne,1,1,1,0,0,0,0.6666666667,dull
bons buveurs,1,1,1,0,0,0,0.6666666667,good drinkers
bavard,1,1,1,0,0,0,0.6666666667,talkative
migrants,1,1,1,0,0,0,0.6666666667,migrants
bovin,1,1,1,0,0,0,0.6666666667,bovine
chaud,1,1,1,0,0,0,0.6666666667,hot
guerrier,2,0,0,0,1,0,0.6666666667,warrior
rustique,1,1,1,0,0,0,0.6666666667,rustic
impulsifs,1,1,1,0,0,0,0.6666666667,impulsive
gaucho,1,1,1,0,0,0,0.6666666667,gaucho
gitan,1,1,1,0,0,0,0.6666666667,Gypsy
tendues,1,1,1,0,0,0,0.6666666667,tense
rude,1,1,1,0,0,0,0.6666666667,harsh
fuyant,1,1,1,0,0,0,0.6666666667,fleeing
gros mangeurs,1,1,1,0,0,0,0.6666666667,big eaters
dangereuse,1,1,1,0,0,0,0.6666666667,dangerous
choucroute,1,2,0,0,0,0,0.3333333333,Sauerkraut
porte kilt,1,0,1,0,0,1,0.3333333333,kilt holder
massif,2,0,0,1,0,0,0.3333333333,massive
strict,1,2,0,0,0,0,0.3333333333,strict
indomptables,1,2,0,0,0,0,0.3333333333,indomitable
chocoholics,1,2,0,0,0,0,0.3333333333,chocoholics
vaincu,1,2,0,0,0,0,0.3333333333,defeated
accent,1,2,0,0,0,0,0.3333333333,accent
paysanne,1,2,0,0,0,0,0.3333333333,peasant
introverti,1,2,0,0,0,0,0.3333333333,introvert
imposantes,1,2,0,0,0,0,0.3333333333,imposing
conservateur,1,2,0,0,0,0,0.3333333333,conservative
fermé,1,2,0,0,0,0,0.3333333333,farm
bons en sprint,1,2,0,0,0,0,0.3333333333,good at sprinting
têtu,1,2,0,0,0,0,0.3333333333,stubborn
fougueux,1,2,0,0,0,0,0.3333333333,fiery
indépendantiste,1,2,0,0,0,0,0.3333333333,independentist
campagnard,1,2,0,0,0,0,0.3333333333,countryman
réservé,1,2,0,0,0,0,0.3333333333,reserve
réfugiés,1,2,0,0,0,0,0.3333333333,refugees
insoumis,1,2,0,0,0,0,0.3333333333,rebellious
polygamie,1,2,0,0,0,0,0.3333333333,polygamy
descendants d'esclaves,1,2,0,0,0,0,0.3333333333,descendants of slaves
buveur,1,2,0,0,0,0,0.3333333333,drinker
mange beaucoup,1,2,0,0,0,0,0.3333333333,eat a lot
excité,1,2,0,0,0,0,0.3333333333,excited
parlent beaucoup,1,2,0,0,0,0,0.3333333333,talk a lot
mangeurs de choucroute,1,2,0,0,0,0,0.3333333333,sauerkraut eaters
vampire,1,2,0,0,0,0,0.3333333333,vampire
matérialiste,1,2,0,0,0,0,0.3333333333,materialist
stressé,1,2,0,0,0,0,0.3333333333,stress
immigrés,1,2,0,0,0,0,0.3333333333,immigrants
séparatiste,2,0,1,0,0,0,0,separatist
métis,2,0,1,0,0,0,0,metis
amateurs de champagne,2,0,1,0,0,0,0,champagne lovers
gaulois,1,1,0,0,0,1,0,Gallic
en colère,2,0,1,0,0,0,0,angry
aime le whisky,2,0,1,0,0,0,0,love whiskey
parisien,1,1,0,0,0,1,0,Parisian
sédentarisés,2,0,1,0,0,0,0,settled
rebelle,2,0,1,0,0,0,0,rebel
séparatistes,2,0,1,0,0,0,0,separatists
amateurs de pastis,2,0,1,0,0,0,0,pastis lovers
pizzaïolo,2,0,1,0,0,0,0,pizza maker
fêtard,2,0,1,0,0,0,0,party animal
fromagère,2,0,1,0,0,0,0,cheese maker
téméraire,2,0,1,0,0,0,0,reckless
aime la tequila,2,0,1,0,0,0,0,love tequila
