Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
cowboy,3,0,0,0,0,0,-1, 
amazônico,3,0,0,0,0,0,-1, 
mate,1,0,0,1,1,0,2, 
falante de português,3,0,0,0,0,0,-1, 
nacionalista,1,1,1,0,0,0,0.6666666667, 
gostam de fado,1,1,0,1,0,0,1, 
adoram pequi,3,0,0,0,0,0,-1, 
arrogante,0,1,0,0,2,0,3, 
civilizado,3,0,0,0,0,0,-1, 
afro-descendente,1,2,0,0,0,0,0.3333333333, 
falam português,3,0,0,0,0,0,-1, 
comunista,1,0,1,0,1,0,1.666666667, 
jogam futebol,2,1,0,0,0,0,-0.3333333333, 
nómadas,3,0,0,0,0,0,-1, 
pão com ovo,3,0,0,0,0,0,-1, 
bom coração,3,0,0,0,0,0,-1, 
jogam muito bem,3,0,0,0,0,0,-1, 
extrovertido,3,0,0,0,0,0,-1, 
corredor,3,0,0,0,0,0,-1, 
estressado,1,1,0,1,0,0,1, 
gostam de água,3,0,0,0,0,0,-1, 
organizado,3,0,0,0,0,0,-1, 
portenho,3,0,0,0,0,0,-1, 
sossegado,3,0,0,0,0,0,-1, 
sofridos,2,1,0,0,0,0,-0.3333333333, 
britânico,3,0,0,0,0,0,-1, 
gostam de feijoada,3,0,0,0,0,0,-1, 
ingleses,3,0,0,0,0,0,-1, 
ordeiro,3,0,0,0,0,0,-1, 
comedores de macaxeira,2,0,0,0,1,0,0.6666666667, 
dançarino,3,0,0,0,0,0,-1, 
adoram pastel de feira,3,0,0,0,0,0,-1, 
esportivo,3,0,0,0,0,0,-1, 
andavam descalços,0,2,1,0,0,0,1.333333333, 
maratonistas,3,0,0,0,0,0,-1, 
aborrecidos,1,2,0,0,0,0,0.3333333333, 
conquistador,2,0,1,0,0,0,0, 
falam inglês,3,0,0,0,0,0,-1, 
obesa,0,0,0,0,3,0,4, 
falante de mineirês,2,1,0,0,0,0,-0.3333333333, 
luso,3,0,0,0,0,0,-1, 
ortodoxo,2,1,0,0,0,0,-0.3333333333, 
bondoso,3,0,0,0,0,0,-1, 
pantaneiro,3,0,0,0,0,0,-1, 
conservador,1,2,0,0,0,0,0.3333333333, 
calmo,3,0,0,0,0,0,-1, 
amantes da culinária,3,0,0,0,0,0,-1, 
adoram arroz de carreteiro,3,0,0,0,0,0,-1, 
artístico,3,0,0,0,0,0,-1, 
come muito camarão,2,1,0,0,0,0,-0.3333333333, 
bom de capoeira,2,1,0,0,0,0,-0.3333333333, 
escocês,3,0,0,0,0,0,-1, 
bandidos,0,0,0,1,2,0,3.666666667, 
boa na capoeira,3,0,0,0,0,0,-1, 
animal,0,1,0,0,2,0,3, 
europeu,3,0,0,0,0,0,-1, 
beligerante,1,0,1,0,1,0,1.666666667, 
teimoso,0,2,1,0,0,0,1.333333333, 
comem muito quiabo,3,0,0,0,0,0,-1, 
gostam de minério,2,0,0,1,0,0,0.3333333333, 
libertadores,3,0,0,0,0,0,-1, 
trabalhadores,3,0,0,0,0,0,-1, 
tricolores,3,0,0,0,0,0,-1, 
descendentes de gregos,3,0,0,0,0,0,-1, 
afro-americanos,1,2,0,0,0,0,0.3333333333, 
ruivos,3,0,0,0,0,0,-1, 
gostam de dançar,3,0,0,0,0,0,-1, 
não tinham dinheiro,0,2,1,0,0,0,1.333333333, 
mediterrânicas,3,0,0,0,0,0,-1, 
gosta de feijão,2,1,0,0,0,0,-0.3333333333, 
materialista,1,0,0,2,0,0,1.666666667, 
fumadores,0,1,1,0,1,0,2.333333333, 
açaí,3,0,0,0,0,0,-1, 
eficiente,3,0,0,0,0,0,-1, 
bom no futebol,3,0,0,0,0,0,-1, 
rebelde,0,2,1,0,0,0,1.333333333, 
esquentadinho,0,3,0,0,0,0,1, 
sorriem muito,3,0,0,0,0,0,-1, 
obediente,3,0,0,0,0,0,-1, 
bom de chimarrão,3,0,0,0,0,0,-1, 
comem arroz,3,0,0,0,0,0,-1, 
exótico,2,0,0,1,0,0,0.3333333333, 
nórdico,3,0,0,0,0,0,-1, 
gostam de axé,2,0,1,0,0,0,0, 
boiadeiro,3,0,0,0,0,0,-1, 
cantor,3,0,0,0,0,0,-1, 
jornal,3,0,0,0,0,0,-1, 
menor consumo de carne,3,0,0,0,0,0,-1, 
bons em dança,2,0,1,0,0,0,0, 
vegetariano,3,0,0,0,0,0,-1, 
pão com linguiça,2,1,0,0,0,0,-0.3333333333, 
supersticioso,1,1,1,0,0,0,0.6666666667, 
bons em cerveja,3,0,0,0,0,0,-1, 
pecuarista,3,0,0,0,0,0,-1, 
violento,0,1,0,0,2,0,3, 
gostam de chocolate,3,0,0,0,0,0,-1, 
gostam de aguardente,2,0,0,1,0,0,0.3333333333, 
nativo da amazônia,3,0,0,0,0,0,-1, 
torcedor do grêmio,3,0,0,0,0,0,-1, 
fanáticos por futebol,1,2,0,0,0,0,0.3333333333, 
adoram comer ceviche,3,0,0,0,0,0,-1, 
tricolor,3,0,0,0,0,0,-1, 
comeu muito,1,2,0,0,0,0,0.3333333333, 
comem camarão,3,0,0,0,0,0,-1, 
revoltosos,0,2,1,0,0,0,1.333333333, 
árabe,3,0,0,0,0,0,-1, 
educada,3,0,0,0,0,0,-1, 
pentacampeões,3,0,0,0,0,0,-1, 
curte churrasco,3,0,0,0,0,0,-1, 
alemães,3,0,0,0,0,0,-1, 
gostam de churrasco,3,0,0,0,0,0,-1, 
descendentes de indianos,3,0,0,0,0,0,-1, 
come buchada,3,0,0,0,0,0,-1, 
dançam bem,2,1,0,0,0,0,-0.3333333333, 
cerveja,3,0,0,0,0,0,-1, 
gostam de henna,3,0,0,0,0,0,-1, 
bom em caça,2,0,1,0,0,0,0, 
trabalhador rural,2,1,0,0,0,0,-0.3333333333, 
governantes corruptos,0,0,1,0,2,0,3.333333333, 
descendentes de japoneses,3,0,0,0,0,0,-1, 
asiático,3,0,0,0,0,0,-1, 
gostam de esquiar,3,0,0,0,0,0,-1, 
simpático,3,0,0,0,0,0,-1, 
animais,1,0,0,0,2,0,2.333333333, 
gostam de açaí,3,0,0,0,0,0,-1, 
egocêntricos,1,0,1,0,1,0,1.666666667, 
muito bonito,3,0,0,0,0,0,-1, 
budista,3,0,0,0,0,0,-1, 
bom de conversa,3,0,0,0,0,0,-1, 
beberrões,0,0,1,0,2,0,3.333333333, 
holandeses,3,0,0,0,0,0,-1, 
insular,3,0,0,0,0,0,-1, 
não gostam de carne,3,0,0,0,0,0,-1, 
natural de roraima,3,0,0,0,0,0,-1, 
nordestino,2,0,1,0,0,0,0, 
tradicionalista,3,0,0,0,0,0,-1, 
báltico,3,0,0,0,0,0,-1, 
lémures,2,0,0,0,1,0,0.6666666667, 
come churrasco,3,0,0,0,0,0,-1, 
calorento,3,0,0,0,0,0,-1, 
atlético,3,0,0,0,0,0,-1, 
romântico,3,0,0,0,0,0,-1, 
charque,3,0,0,0,0,0,-1, 
obeso,0,0,0,1,2,0,3.666666667, 
traficantes de drogas,0,0,0,0,3,0,4, 
montanhistas,3,0,0,0,0,0,-1, 
churrasco,3,0,0,0,0,0,-1, 
melancólico,1,2,0,0,0,0,0.3333333333, 
bebem muito,1,0,1,1,0,0,1.333333333, 
uruguaios,3,0,0,0,0,0,-1, 
amazônia,3,0,0,0,0,0,-1, 
racista,0,0,0,0,3,0,4, 
indígena,3,0,0,0,0,0,-1, 
escravos,0,0,1,0,2,0,3.333333333, 
fumantes,0,1,0,2,0,0,2.333333333, 
educado,3,0,0,0,0,0,-1, 
leões,3,0,0,0,0,0,-1, 
praiano,3,0,0,0,0,0,-1, 
falam espanhol,3,0,0,0,0,0,-1, 
nômade,3,0,0,0,0,0,-1, 
desleixado,1,0,0,1,1,0,2, 
ditadores,0,0,1,0,2,0,3.333333333, 
gostam de comida mineira,3,0,0,0,0,0,-1, 
chimarrão,3,0,0,0,0,0,-1, 
língua oficial de portugal,3,0,0,0,0,0,-1, 
pão com chimarrão,3,0,0,0,0,0,-1, 
sofrido,0,1,1,0,1,0,2.333333333, 
narcotraficantes,0,1,0,0,2,0,3, 
bons em salto,3,0,0,0,0,0,-1, 
alpinistas,3,0,0,0,0,0,-1, 
holandês,3,0,0,0,0,0,-1, 
lusitano,3,0,0,0,0,0,-1, 
mineirinho,3,0,0,0,0,0,-1, 
cigano,3,0,0,0,0,0,-1, 
selvagens,1,0,0,1,1,0,2, 
falar rápido,3,0,0,0,0,0,-1, 
petróleo,3,0,0,0,0,0,-1, 
extrovertida,3,0,0,0,0,0,-1, 
metódico,3,0,0,0,0,0,-1, 
