Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
สงคราม,0,0,0,0,3,0,4,war
สงครามกลางเมือง,0,0,0,0,3,0,4,civil war
โคสต์ ผิดกฎหมาย,0,0,0,0,3,0,4,Coast illegal
ปลูกฝิ่น,0,0,0,0,3,0,4,growing opium
รัสเซีย สงคราม,0,0,0,0,3,0,4,Russia War
อาชญากร,0,0,0,0,3,0,4,criminal
ก่อความไม่สงบ,0,0,0,0,3,0,4,cause unrest
รัสเซีย ครอบงำ,0,0,0,0,3,0,4,Russian Domination
อิหร่าน สงครามกลางเมือง,0,0,0,0,3,0,4,Iran Civil War
ฆ่าล้างเผ่าพันธุ์,0,0,0,0,3,0,4,genocide
ผู้ก่อการร้าย,0,0,0,0,3,0,4,terrorist
สู้รบ,0,0,0,0,3,0,4,fight
ก่อการร้าย,0,0,0,0,3,0,4,terrorism
รักการกบฏ,0,0,0,0,3,0,4,love rebellion
ผู้ก่อความไม่สงบ,0,0,0,0,3,0,4,insurgent
โจรสลัด,0,0,0,1,2,0,3.666666667,pirate
ลาว ขี้เกียจ,0,0,0,1,2,0,3.666666667,Lao lazy
ปากีสถาน ทะเลาะกัน,0,0,0,1,2,0,3.666666667,Pakistan quarreling
เผด็จการ,0,0,0,1,2,0,3.666666667,dictator
บ้าคลั่ง,0,0,0,1,2,0,3.666666667,insane
รุนแรง,0,0,0,1,2,0,3.666666667,severe
หัวรุนแรง,0,0,0,1,2,0,3.666666667,radical
ยาเสพติด,0,0,0,1,2,0,3.666666667,narcotics
โคเคน,0,0,0,1,2,0,3.666666667,cocaine
กบฏ,0,0,0,1,2,0,3.666666667,rebel
โจมตี,0,0,0,1,2,0,3.666666667,attack
ทารุณ,0,0,0,1,2,0,3.666666667,inhuman
อันตราย,0,0,0,2,1,0,3.333333333,dangerous
เวียดนาม ไม่น่าไว้วางใจ,0,0,1,0,2,0,3.333333333,Vietnam is not trustworthy.
ลาว บ้า,0,0,1,0,2,0,3.333333333,Lao Crazy
ตัวอันตราย,0,0,1,0,2,0,3.333333333,Dangerous character
หน้าไหว้หลังหลอก,0,0,1,0,2,0,3.333333333,insincere
กัมพูชา ยากจน,0,0,1,0,2,0,3.333333333,Cambodia is poor
รักการประท้วง,0,0,1,1,1,0,3,love protest
พรรคคอมมิวนิสต์,0,1,0,0,2,0,3,Communist Party
เวียดนาม ยากจน,0,1,0,0,2,0,3,Vietnam is poor
ป่าเถื่อน,0,0,1,1,1,0,3,barbaric
ความขัดแย้ง,0,0,1,1,1,0,3,conflict
โหดร้าย,0,1,0,0,2,0,3,cruel
ถ่อย,0,0,1,1,1,0,3,abrasive
คลั่งศาสนา,0,1,0,0,2,0,3,Religious
นแดง ดุร้าย,0,1,0,1,1,0,2.666666667,fierce redhead
มลพิษ,0,1,0,1,1,0,2.666666667,pollution
ทะเลาะกัน,0,1,0,1,1,0,2.666666667,quarrel
หัวโบราณ,0,1,0,1,1,0,2.666666667,hidebound
ขี้เมา,0,0,2,0,1,0,2.666666667,Drunkard
ทะเลาะ,0,1,0,1,1,0,2.666666667,argue
arrogant,0,1,0,1,1,0,2.666666667,arrogant
เสียดสี,0,0,1,2,0,0,2.666666667,satirical
ชอบประท้วง,0,0,2,0,1,0,2.666666667,like to protest
ฟินแลนด์ ชอบซาวน่า,1,0,0,0,2,0,2.333333333,Finland loves saunas.
ล้าหลัง,0,1,1,0,1,0,2.333333333,lag
ฉกฉวยโอกาส,0,1,1,0,1,0,2.333333333,Seize the opportunity
ร้อนแรง,0,1,1,0,1,0,2.333333333,Hot
แปลกประหลาด,0,1,0,2,0,0,2.333333333,Bizarre
ผู้อ่อนแอ,0,0,2,1,0,0,2.333333333,the weak
ชาวเร่ร่อน,0,1,1,0,1,0,2.333333333,nomad
เวียดนาม คอมมิวนิสต์,1,0,0,0,2,0,2.333333333,Vietnam Communist
ทุพภิกขภัย,0,0,2,1,0,0,2.333333333,famine
ดัดจริต,0,1,1,0,1,0,2.333333333,mincing
ส่วนใหญ่เป็นมุสลิม,1,0,0,0,2,0,2.333333333,Most are Muslim
รักร่วมเพศ,1,0,0,0,2,0,2.333333333,homosexuality
ระเบิด,1,0,0,0,2,0,2.333333333,blast
-บิสเซา ยากจน,1,0,0,0,2,0,2.333333333,-Bissau is poor.
ภาคตะวันออกเฉียงเหนือ พูดเร็ว,1,0,0,0,2,0,2.333333333,Northeastern region speaks quickly
เยาะเย้ย,0,1,0,2,0,0,2.333333333,ridicule
จีน กินเก่ง,1,0,0,0,2,0,2.333333333,China eats well
บ้านนอก,1,0,0,0,2,0,2.333333333,rustic
กดขี่,0,1,1,0,1,0,2.333333333,oppressive
กัมพูชา น่าสงสาร,1,0,0,0,2,0,2.333333333,Cambodia is pitiful
คอมมิวนิสต์,0,1,1,0,1,0,2.333333333,communist
ชาวยิว,1,0,0,0,2,0,2.333333333,jew
เคร่งศาสนา,1,0,0,1,1,0,2,Religious
อวบอ้วน,0,1,1,1,0,0,2,Plump
ทรมาน,0,1,1,1,0,0,2,torture
ดำ,1,0,0,1,1,0,2,black
มลายู คุมตัวเองได้,1,0,0,1,1,0,2,Malays can control themselves.
ยิว,1,0,0,1,1,0,2,Jew
สถาน อันตราย,1,0,0,1,1,0,2,Dangerous place
ขี้ขลาด,1,0,0,1,1,0,2,Cowardly
พูดจาหยาบคาย,1,0,0,1,1,0,2,speak rudely
ฉลาดแกมโกง,0,1,1,1,0,0,2,cunning
รักการปฏิวัติ,1,0,0,1,1,0,2,love revolution
ขี้เหล้า,0,1,1,1,0,0,2,Drunkard
ชอบทำตัวเป็นฝรั่ง,1,0,0,1,1,0,2,likes to act like a foreigner
อ้วน,1,0,0,1,1,0,2,fat
ชนกลุ่มน้อย,1,0,0,1,1,0,2,Minority group
แรง,1,0,0,2,0,0,1.666666667,force
อวดรวย,0,2,0,1,0,0,1.666666667,Show off your wealth
ลาว ขยัน,1,0,1,0,1,0,1.666666667,"Lao, hardworking"
ไทยตะวันออกเฉียงเหนือ พูดเร็ว,1,0,1,0,1,0,1.666666667,Northeastern Thai speaks quickly
ชนชั้น,1,0,0,2,0,0,1.666666667,class
untrusty,0,1,2,0,0,0,1.666666667,untrusty
สถาน ยากจน,0,2,0,1,0,0,1.666666667,poor place
lazy,0,1,2,0,0,0,1.666666667,lazy
เตี้ย,1,0,0,2,0,0,1.666666667,short
ผิวคล้ำ,1,0,1,0,1,0,1.666666667,dark skin
พูดเหน่อ,1,0,1,0,1,0,1.666666667,Speak arrogantly
โลภ,1,0,1,0,1,0,1.666666667,grabbing
รังแก,1,0,0,2,0,0,1.666666667,Bully
น่า หยิ่ง,0,1,2,0,0,0,1.666666667,Very arrogant.
สกปรก,1,0,0,2,0,0,1.666666667,dirty
อหังการ,1,0,0,2,0,0,1.666666667,assertiveness
กินม้า,1,0,0,2,0,0,1.666666667,eat horse
ขี้โมโห,0,2,0,1,0,0,1.666666667,Angry
ชนเผ่า,1,1,0,0,1,0,1.333333333,tribe
เสียงดัง,1,0,1,1,0,0,1.333333333,loud
ทะเยอทะยาน,1,0,1,1,0,0,1.333333333,ambitious
ต่อสู้,1,1,0,0,1,0,1.333333333,fight
อดีตยูโกสลาเวีย,1,1,0,0,1,0,1.333333333,former Yugoslavia
ใจร้อน,1,0,1,1,0,0,1.333333333,impatient
หยิ่งผยอง,1,0,1,1,0,0,1.333333333,arrogant
บ้านป่า,1,1,0,0,1,0,1.333333333,Forest house
ผอม,1,1,0,0,1,0,1.333333333,thin
ด้อยโอกาส,1,0,1,1,0,0,1.333333333,underprivileged
ภาษาแปลก,1,1,0,1,0,0,1,strange language
เย็นชา,1,0,2,0,0,0,1,Cold
ผิวขาว,1,1,0,1,0,0,1,white skin
ชอบดื่มสุรา,1,0,2,0,0,0,1,likes to drink alcohol
ขาดแคลนน้ำ,1,1,0,1,0,0,1,Water shortage
นแดง ชอบล่าสัตว์,1,0,2,0,0,0,1,Red likes to hunt.
อดอยาก,1,0,2,0,0,0,1,starve
ชอบกินเหล้า,1,1,0,1,0,0,1,likes to drink
fall behind,1,1,0,1,0,0,1,fall behind
ขี้เกียจ,1,0,2,0,0,0,1,lazy
น่าเบื่อ,0,3,0,0,0,0,1,boring
กัมพูชา,2,0,0,0,1,0,0.6666666667,Cambodia
เอเชีย,2,0,0,0,1,0,0.6666666667,Asia
เก่า,1,1,1,0,0,0,0.6666666667,old
ชาวเซิร์บ,2,0,0,0,1,0,0.6666666667,Serb
ชาวบ้าน,1,1,1,0,0,0,0.6666666667,villager
พูดภาษาไทยถิ่นใต้,2,0,0,0,1,0,0.6666666667,Speak southern Thai
ชน ฝรั่งเศส,2,0,0,0,1,0,0.6666666667,French
ศาสนาฮินดู,2,0,0,0,1,0,0.6666666667,Hinduism
ภาษาไทยถิ่นใต้,2,0,0,0,1,0,0.6666666667,Southern Thai dialect
ราคาถูก,2,0,0,0,1,0,0.6666666667,cheap price
เอเชียตะวันออกเฉียงใต้,2,0,0,0,1,0,0.6666666667,Southeast Asia
เมียนมา,2,0,0,0,1,0,0.6666666667,Myanmar
สำเนียงแปลก,1,1,1,0,0,0,0.6666666667,strange accent
ญี่ปุ่น ยืนข้างกัน,2,0,0,0,1,0,0.6666666667,Japan stands together
จีน,2,0,0,0,1,0,0.6666666667,China
พูดภาษาอีสาน,2,0,0,0,1,0,0.6666666667,speak Isaan language
ปราสาท,2,0,0,0,1,0,0.6666666667,castle
ชาวฮินดู,2,0,0,0,1,0,0.6666666667,Hindu
ชาวคาทอลิก,2,0,0,0,1,0,0.6666666667,catholic
เข้าใจยาก,1,1,1,0,0,0,0.6666666667,Difficult to understand
เวียดนาม,2,0,0,0,1,0,0.6666666667,Vietnam
โคสต์ ชาวแอฟริกัน,2,0,0,0,1,0,0.6666666667,Coast African
เป็นประเทศมุสลิม,2,0,0,0,1,0,0.6666666667,It's a Muslim country.
ผู้หญิงไม่ขับรถ,2,0,0,0,1,0,0.6666666667,women don't drive
ชาวไอริช,2,0,0,0,1,0,0.6666666667,Irish
ชาวพุทธ,2,0,0,0,1,0,0.6666666667,Buddhist
เขมร,2,0,0,0,1,0,0.6666666667,Khmer
ยากจน,1,1,1,0,0,0,0.6666666667,poor
ชาวเขา,2,0,0,0,1,0,0.6666666667,hill tribe
อิสราเอล,2,0,0,0,1,0,0.6666666667,Israel
อุดรธานี,2,0,0,0,1,0,0.6666666667,Udon Thani
คาทอลิก,2,0,0,0,1,0,0.6666666667,Catholic
จีนแผ่นดินใหญ่,2,0,0,0,1,0,0.6666666667,Mainland China
ชาวกรีก,2,0,0,0,1,0,0.6666666667,Greek
ชาวลาว,2,0,0,0,1,0,0.6666666667,Lao people
อาถรรพ์,1,1,1,0,0,0,0.6666666667,mystery
ชาวมุสลิม,2,0,0,0,1,0,0.6666666667,Muslims
ชาวเกาะ,2,0,0,0,1,0,0.6666666667,Islander
ขี้อาย,1,1,1,0,0,0,0.6666666667,Shy
กัมพูชา น่ารัก,2,0,0,0,1,0,0.6666666667,Cambodia cute
ชาวมาเลย์,2,0,0,0,1,0,0.6666666667,Malay
ดื้อรั้น,1,1,1,0,0,0,0.6666666667,Stubborn
ชาวต่างชาติ,2,0,0,0,1,0,0.6666666667,foreigner
ชาวกรีกโบราณ,2,0,0,0,1,0,0.6666666667,ancient greek
เกาหลีใต้ แบ่งประเทศ,2,0,0,0,1,0,0.6666666667,South Korea divides the country
eat a lot,1,1,1,0,0,0,0.6666666667,eat a lot
ชาวเอเชีย,2,0,0,0,1,0,0.6666666667,Asian people
ชาวโปแลนด์,2,0,0,0,1,0,0.6666666667,Polish
อารมณ์ร้อน,1,1,1,0,0,0,0.6666666667,hot tempered
ชาวจีน,2,0,0,0,1,0,0.6666666667,Chinese
เคร่งครัดทางศาสนา,2,0,0,0,1,0,0.6666666667,strictly religious
ชาวไทยภาคใต้,2,0,0,0,1,0,0.6666666667,Southern Thai people
ชาวทะเล,2,0,0,0,1,0,0.6666666667,sea ​​people
ชาวเอเชียตะวันออกเฉียงใต้,2,0,0,0,1,0,0.6666666667,Southeast Asian people
ทะเลาะเก่ง,1,1,1,0,0,0,0.6666666667,Good at arguing
อ่อนแอ,1,1,1,0,0,0,0.6666666667,weak
ชาวไทยตะวันออก,2,0,0,0,1,0,0.6666666667,Eastern Thai people
ชาวสวน,2,0,0,0,1,0,0.6666666667,gardener
ทนทุกข์ทรมาน,1,2,0,0,0,0,0.3333333333,suffer
ฟันไม่ดี,1,2,0,0,0,0,0.3333333333,Bad teeth
passionate,2,0,0,1,0,0,0.3333333333,passionate
สัตว์,2,0,0,1,0,0,0.3333333333,animal
พูดน้อย,1,2,0,0,0,0,0.3333333333,speak little
แปลก,1,2,0,0,0,0,0.3333333333,strange
สัตว์มีกระเป๋าหน้าท้อง,2,0,0,1,0,0,0.3333333333,marsupial
เฉยเมย,1,2,0,0,0,0,0.3333333333,indifferent
ยุ่งเหยิง,1,2,0,0,0,0,0.3333333333,tangle
สัตว์แปลก,2,0,0,1,0,0,0.3333333333,strange animals
กะเหรี่ยง,2,0,0,1,0,0,0.3333333333,Karen
ลึกลับ,1,2,0,0,0,0,0.3333333333,mysterious
สถาน น่ากลัว,2,0,0,1,0,0,0.3333333333,scary place
ช้าง,2,0,0,1,0,0,0.3333333333,elephant
โบราณ,1,2,0,0,0,0,0.3333333333,ancient
หนี้,1,2,0,0,0,0,0.3333333333,debt
สัตว์ป่า,2,0,0,1,0,0,0.3333333333,wild animals
ทุพโภชนาการ,2,0,0,1,0,0,0.3333333333,malnutrition
สูบบุหรี่,1,2,0,0,0,0,0.3333333333,smoking
ขาดสารอาหาร,2,0,0,1,0,0,0.3333333333,malnutrition
ดื่มหนัก,1,2,0,0,0,0,0.3333333333,Heavy drinking
ดื่มเยอะ,1,2,0,0,0,0,0.3333333333,Drink a lot
เล็กจิ๋ว,2,0,1,0,0,0,0,tiny
เต็มไปด้วยอารมณ์,2,0,1,0,0,0,0,full of emotion
ใจถึง,2,0,1,0,0,0,0,sporting
น่าสงสาร,2,0,1,0,0,0,0,pitiful
สัตว์เลี้ยง,2,0,1,0,0,0,0,Pets
รักการจูบ,2,0,1,0,0,0,0,love kissing
โคสต์ ยากจน,2,0,1,0,0,0,0,Coast is poor
go backwards,2,0,1,0,0,0,0,go backwards
เจียมตัว,2,0,1,0,0,0,0,modest
พูดไทยไม่ชัด,2,0,1,0,0,0,0,Can't speak Thai clearly
แบ่งแยก,2,0,1,0,0,0,0,separate
ชาวภูเขา,2,0,1,0,0,0,0,mountain people
สังคมนิยม,2,0,1,0,0,0,0,socialism
ชนชั้นสูง,2,0,1,0,0,0,0,upper class
มืดมน,2,0,1,0,0,0,0,gloomy
น่ากลัว,2,0,1,0,0,0,0,scary
ขาว,2,1,0,0,0,0,-0.3333333333,white
ดื่ม,2,1,0,0,0,0,-0.3333333333,drink
โดดเดี่ยว,2,1,0,0,0,0,-0.3333333333,lonely
พูดเร็ว,2,1,0,0,0,0,-0.3333333333,speak quickly
