Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
indio,2,0,0,0,1,0,0.6666666667,Indian
comen mole,2,0,1,0,0,0,0,they eat mole
buenos en béisbol,3,0,0,0,0,0,-1,good at baseball
intelectuales,3,0,0,0,0,0,-1,intellectuals
gente estresada,1,2,0,0,0,0,0.3333333333,stressed people
amantes del esquí,3,0,0,0,0,0,-1,ski lovers
guapa,3,0,0,0,0,0,-1,pretty
es blanca,1,1,1,0,0,0,0.6666666667,it's white
económico,3,0,0,0,0,0,-1,economic
romántico,3,0,0,0,0,0,-1,Romantic
amantes de la naturaleza,3,0,0,0,0,0,-1,nature lovers
realistas,3,0,0,0,0,0,-1,realistic
meticuloso,3,0,0,0,0,0,-1,meticulous
cariñoso,3,0,0,0,0,0,-1,affectionate
cochabambinos,2,0,0,1,0,0,0.3333333333,cochabambinos
amante de la cerveza,3,0,0,0,0,0,-1,beer lover
bebedores de guinness,3,0,0,0,0,0,-1,guinness drinkers
terrorista,0,0,0,0,3,0,4,terrorist
civilizados,3,0,0,0,0,0,-1,civilized
bailan bien,3,0,0,0,0,0,-1,They dance well
buenos charros,3,0,0,0,0,0,-1,good charros
vivían en la capital,3,0,0,0,0,0,-1,they lived in the capital
calor,3,0,0,0,0,0,-1,heat
buenos en la salsa,3,0,0,0,0,0,-1,good in sauce
maoríes,2,0,1,0,0,0,0,maori
corrupto,0,0,0,2,1,0,3.333333333,corrupt
viven en la capital,2,1,0,0,0,0,-0.3333333333,they live in the capital
es un tipo de pan,3,0,0,0,0,0,-1,It is a type of bread
reales,3,0,0,0,0,0,-1,real
viven en el polo norte,3,0,0,0,0,0,-1,they live at the north pole
comen picante,2,1,0,0,0,0,-0.3333333333,they eat spicy
buenas en mole,2,1,0,0,0,0,-0.3333333333,good in mole
báltico,3,0,0,0,0,0,-1,Baltic
guineano,2,0,1,0,0,0,0,Guinean
capital,3,0,0,0,0,0,-1,capital
come pasta,3,0,0,0,0,0,-1,eat pasta
irlandeses,2,0,1,0,0,0,0,irish
festivo,3,0,0,0,0,0,-1,festive
le gusta el rancho,2,0,1,0,0,0,0,he likes the ranch
shona,2,0,0,1,0,0,0.3333333333,shona
frioleras,3,0,0,0,0,0,-1,whopping
mediterráneo,3,0,0,0,0,0,-1,Mediterranean
peace-loving,2,1,0,0,0,0,-0.3333333333,peace-loving
hablador,0,2,0,0,1,0,2,talkative
nórdico,3,0,0,0,0,0,-1,Nordic
simpático,3,0,0,0,0,0,-1,nice
burgués,1,0,1,1,0,0,1.333333333,bourgeois
taciturnos,3,0,0,0,0,0,-1,taciturn
chilango,1,0,1,1,0,0,1.333333333,chilango
calurosas,3,0,0,0,0,0,-1,hot
ciudades,3,0,0,0,0,0,-1,cities
buenos guerreros,3,0,0,0,0,0,-1,good warriors
azteca,2,0,1,0,0,0,0,Aztec
región,3,0,0,0,0,0,-1,region
exótico,2,1,0,0,0,0,-0.3333333333,exotic
familias reales,3,0,0,0,0,0,-1,royal families
brave,2,1,0,0,0,0,-0.3333333333,brave
violento,0,0,0,1,1,1,2.333333333,violent
simpática,3,0,0,0,0,0,-1,nice
corteses,3,0,0,0,0,0,-1,courteous
opulentas,3,0,0,0,0,0,-1,opulent
estadounidense,3,0,0,0,0,0,-1,United States
lujoso,3,0,0,0,0,0,-1,luxurious
rebelde,1,1,1,0,0,0,0.6666666667,rebel
bengalí,3,0,0,0,0,0,-1,Bengali
habitantes de taiwán,3,0,0,0,0,0,-1,inhabitants of taiwan
flemático,2,1,0,0,0,0,-0.3333333333,phlegmatic
refinado,3,0,0,0,0,0,-1,refined
habitantes de jalisco,3,0,0,0,0,0,-1,inhabitants of Jalisco
comen asado,3,0,0,0,0,0,-1,they eat roast
malvadas,0,2,1,0,0,0,1.333333333,evil
comen tacos,3,0,0,0,0,0,-1,they eat tacos
gobierno,1,1,1,0,0,0,0.6666666667,government
idioma universal,3,0,0,0,0,0,-1,Universal language
sabio,3,0,0,0,0,0,-1,sage
buenos relojeros,3,0,0,0,0,0,-1,good watchmakers
lesbianas,1,0,0,0,2,0,2.333333333,lesbians
ajetreado,3,0,0,0,0,0,-1,busy
frío,3,0,0,0,0,0,-1,cold
deportista,3,0,0,0,0,0,-1,sportsman
amante del desierto,3,0,0,0,0,0,-1,desert lover
amante del tango,3,0,0,0,0,0,-1,tango lover
tenían un sentido del humor seco,2,0,1,0,0,0,0,They had a dry sense of humor
montañoso,3,0,0,0,0,0,-1,mountainous
comunista,1,0,0,1,1,0,2,communist
lengua franca,2,0,1,0,0,0,0,lingua franca
vegetarian,2,1,0,0,0,0,-0.3333333333,vegetarian
frios,2,1,0,0,0,0,-0.3333333333,cold
escriben de izquierda a derecha,3,0,0,0,0,0,-1,they write from left to right
beben whisky,3,0,0,0,0,0,-1,they drink whiskey
buenas en carreras,3,0,0,0,0,0,-1,good at racing
puntuales,3,0,0,0,0,0,-1,punctual
buenas en el surf,3,0,0,0,0,0,-1,good at surfing
emprendedores,3,0,0,0,0,0,-1,entrepreneurs
habla galés,3,0,0,0,0,0,-1,speaks welsh
beligerante,0,1,1,0,1,0,2.333333333,belligerent
católico,3,0,0,0,0,0,-1,Catholic
educado,3,0,0,0,0,0,-1,polite
buenos en carreras de velocidad,3,0,0,0,0,0,-1,good at speed racing
comían mucha carne,1,2,0,0,0,0,0.3333333333,they ate a lot of meat
reyes,3,0,0,0,0,0,-1,Kings
tolerante,3,0,0,0,0,0,-1,tolerant
honrado,3,0,0,0,0,0,-1,honored
urbanas,3,0,0,0,0,0,-1,urban
les gusta el ron,2,1,0,0,0,0,-0.3333333333,they like rum
feo,0,0,2,1,0,0,2.333333333,ugly
alta,3,0,0,0,0,0,-1,high
hablan esloveno,3,0,0,0,0,0,-1,they speak slovenian
expresivo,3,0,0,0,0,0,-1,expressive
local,3,0,0,0,0,0,-1,local
buenos cantantes,3,0,0,0,0,0,-1,Good singers
rápido,3,0,0,0,0,0,-1,fast
chapines,2,1,0,0,0,0,-0.3333333333,chapines
de la región,3,0,0,0,0,0,-1,region of
ocupadas,3,0,0,0,0,0,-1,busy
conquistador,0,3,0,0,0,0,1,conqueror
gaucho,3,0,0,0,0,0,-1,gaucho
mujer de jalisco,3,0,0,0,0,0,-1,woman from jalisco
musulmán,2,0,0,1,0,0,0.3333333333,Muslim
frígidas,0,0,0,1,2,0,3.666666667,frigid
independiente,3,0,0,0,0,0,-1,independent
italiano,3,0,0,0,0,0,-1,Italian
caluroso,3,0,0,0,0,0,-1,warm
lengua,3,0,0,0,0,0,-1,language
chistosas,2,1,0,0,0,0,-0.3333333333,funny
escalador,2,1,0,0,0,0,-0.3333333333,scaler
les gusta el fútbol,3,0,0,0,0,0,-1,They like football
tulipán,3,0,0,0,0,0,-1,tulip
aman el picante,3,0,0,0,0,0,-1,they love spicy
ovejas,1,2,0,0,0,0,0.3333333333,sheep
les encanta la cerveza,3,0,0,0,0,0,-1,they love beer
es una persona de monterrey,2,1,0,0,0,0,-0.3333333333,He is a person from Monterrey
campesino,1,1,1,0,0,0,0.6666666667,farmer
hablado en nepal,3,0,0,0,0,0,-1,spoken in nepal
buenos en el tequila,3,0,0,0,0,0,-1,good at tequila
criminales,0,1,1,0,1,0,2.333333333,criminals
menos poblados,3,0,0,0,0,0,-1,less populated
de monterrey,2,1,0,0,0,0,-0.3333333333,from Monterrey
tropicales,3,0,0,0,0,0,-1,tropical
beben té,3,0,0,0,0,0,-1,they drink tea
felices,3,0,0,0,0,0,-1,happy
buena salsa,3,0,0,0,0,0,-1,good sauce
tierna,3,0,0,0,0,0,-1,tender
eran reyes,3,0,0,0,0,0,-1,they were kings
esquiador,3,0,0,0,0,0,-1,skier
juguetones,3,0,0,0,0,0,-1,playful
culta,3,0,0,0,0,0,-1,cultured
panistas,0,1,1,1,0,0,2,panistas
barbudo,2,1,0,0,0,0,-0.3333333333,bearded
tea,2,0,1,0,0,0,0,torch
tulipanes,3,0,0,0,0,0,-1,tulips
hablan inglés,3,0,0,0,0,0,-1,they speak English
diminutos,2,1,0,0,0,0,-0.3333333333,tiny
asiático,2,0,1,0,0,0,0,Asian
aventurero,3,0,0,0,0,0,-1,adventurous
isla,3,0,0,0,0,0,-1,island
timoratos,0,1,1,0,1,0,2.333333333,timid
preciso,3,0,0,0,0,0,-1,accurate
rudo,0,1,2,0,0,0,1.666666667,rude
comen chapulines,2,0,0,0,1,0,0.6666666667,they eat grasshoppers
buenos montañeros,3,0,0,0,0,0,-1,good mountaineers
bondadosas,3,0,0,0,0,0,-1,kind
orgullosa,3,0,0,0,0,0,-1,proud
atareadas,3,0,0,0,0,0,-1,busy
cantan,3,0,0,0,0,0,-1,they sing
difícil de aprender,3,0,0,0,0,0,-1,Is hard to learn
dinámicas,3,0,0,0,0,0,-1,dynamic
nasal,2,1,0,0,0,0,-0.3333333333,nasal
buenas en hockey,3,0,0,0,0,0,-1,good at hockey
grande,2,1,0,0,0,0,-0.3333333333,big
rica,3,0,0,0,0,0,-1,delicious
viven en madagascar,2,1,0,0,0,0,-0.3333333333,they live in madagascar
buena cocinera,3,0,0,0,0,0,-1,Good cooker
mujeres hermosas,3,0,0,0,0,0,-1,beautiful women
bárbaro,0,2,0,1,0,0,1.666666667,barbarian
diversa,3,0,0,0,0,0,-1,diverse
huasos,2,0,1,0,0,0,0,huasos
benévolos,3,0,0,0,0,0,-1,benevolent
hablado en indonesia,2,1,0,0,0,0,-0.3333333333,spoken in indonesia
montañero,2,0,0,1,0,0,0.3333333333,mountaineer
reservadas,3,0,0,0,0,0,-1,reserved
misterioso,3,0,0,0,0,0,-1,mysterious
negro,1,0,0,0,2,0,2.333333333,black
incoloro,2,0,1,0,0,0,0,colorless
refugiado,1,0,2,0,0,0,1,refugee
regional,2,1,0,0,0,0,-0.3333333333,regional
alegre,3,0,0,0,0,0,-1,cheerful
conservadora,1,1,1,0,0,0,0.6666666667,conservative
indios americanos,1,0,0,1,1,0,2,american indians
canguro,3,0,0,0,0,0,-1,kangaroo
hindú,2,1,0,0,0,0,-0.3333333333,Hindu
buenos en escalada,3,0,0,0,0,0,-1,good at climbing
apasionado,3,0,0,0,0,0,-1,passionate
muy ricas,2,0,1,0,0,0,0,very rich
estrictas,3,0,0,0,0,0,-1,strict
imperialista,0,2,0,0,1,0,2,imperialist
consumistas,0,1,2,0,0,0,1.666666667,consumerists
amante del chocolate,3,0,0,0,0,0,-1,chocolate lover
flojo,0,1,1,0,1,0,2.333333333,loose
hablado en todo el mundo,3,0,0,0,0,0,-1,spoken all over the world
hippies,1,1,0,0,1,0,1.333333333,hippies
ama comer kimchi,2,0,1,0,0,0,0,loves to eat kimchi
metódico,3,0,0,0,0,0,-1,methodical
sandinista,1,0,0,1,0,1,0.6666666667,sandinista
comían mucho,1,1,1,0,0,0,0.6666666667,they ate a lot
tenían buen sentido del humor,3,0,0,0,0,0,-1,They had a good sense of humor
habla español,3,0,0,0,0,0,-1,speak Spanish
caballeros,3,0,0,0,0,0,-1,gentlemen
maratonista,3,0,0,0,0,0,-1,marathoner
borracho,0,0,2,0,1,0,2.666666667,drunk
reservado,3,0,0,0,0,0,-1,reserved
andino,2,0,1,0,0,0,0,Andean
centro,3,0,0,0,0,0,-1,center
bueno en rugby,3,0,0,0,0,0,-1,good at rugby
graciosa,3,0,0,0,0,0,-1,funny
les gusta el agua,3,0,0,0,0,0,-1,they like water
buenos bailarines,3,0,0,0,0,0,-1,good dancers
relajado,3,0,0,0,0,0,-1,relaxed
bosnio,2,0,0,1,0,0,0.3333333333,Bosnian
lengua universal,3,0,0,0,0,0,-1,Universal language
gracioso,3,0,0,0,0,0,-1,funny
gente de la región,2,0,1,0,0,0,0,people of the region
tejedoras,3,0,0,0,0,0,-1,weavers
bronceado,3,0,0,0,0,0,-1,tanned
británico,3,0,0,0,0,0,-1,British
chocolate,3,0,0,0,0,0,-1,chocolate
cálida,3,0,0,0,0,0,-1,warm
esclavas,0,0,0,2,1,0,3.333333333,slaves
persa,2,0,0,1,0,0,0.3333333333,Persian
testarudo,1,1,1,0,0,0,0.6666666667,strong headed
