Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
সমুদ্র উপকূলবর্তী,3,0,0,0,0,0,-1,seaside
শান্তিপ্রিয়,3,0,0,0,0,0,-1,peaceful
প্রতিযোগী,3,0,0,0,0,0,-1,competitor
কালো চুল,3,0,0,0,0,0,-1,black hair
পিছিয়ে,2,1,0,0,0,0,-0.3333333333,backward
ফ্যাশন,3,0,0,0,0,0,-1,fashion
সততা,3,0,0,0,0,0,-1,honesty
ক্রিকেট খেলতে ভালো,3,0,0,0,0,0,-1,Good to play cricket
লম্বা লেজ,2,1,0,0,0,0,-0.3333333333,long tail
ক্রিসমাস উপহার দেয়,3,0,0,0,0,0,-1,Christmas presents
মিষ্টি,3,0,0,0,0,0,-1,sweet
ক্রিকেট খেলোয়াড়,3,0,0,0,0,0,-1,cricket player
খেলোয়াড়,3,0,0,0,0,0,-1,the player
গরম খাবার ভালোবাসে,3,0,0,0,0,0,-1,Loves hot food
ফ্যাশনেবল,3,0,0,0,0,0,-1,fashionable
চীনা ভাষা,3,0,0,0,0,0,-1,chinese language
আইভরি,3,0,0,0,0,0,-1,Ivory
খেলাধুলা ভালোবাসি,3,0,0,0,0,0,-1,love sports
চীনা খাবার খাওয়া,3,0,0,0,0,0,-1,eating chinese food
কড়া ভাষা,1,0,2,0,0,0,1,strong language
বরিশাল বিভাগ,3,0,0,0,0,0,-1,Barisal Division
ঘড়ি,3,0,0,0,0,0,-1,watch
শ্রমিক,3,0,0,0,0,0,-1,worker
নদীবহুল,3,0,0,0,0,0,-1,riverine
নীল,3,0,0,0,0,0,-1,the blue
ওয়ালস,3,0,0,0,0,0,-1,Walls
পাহাড়ে বসবাস,3,0,0,0,0,0,-1,Living in the mountains
কৃপণ,1,1,0,1,0,0,1,miserly
অস্ট্রেলিয়ান,3,0,0,0,0,0,-1,Australian
রসাল,3,0,0,0,0,0,-1,juicy
উন্নত,3,0,0,0,0,0,-1,developed
আফ্রিকান,3,0,0,0,0,0,-1,the african
আন্তরিক,3,0,0,0,0,0,-1,sincere
রোম্যান্টিক,3,0,0,0,0,0,-1,romantic
আলু,3,0,0,0,0,0,-1,potatoes
আদেশকারী,3,0,0,0,0,0,-1,the orderer
হিমালয়ের কাছে,3,0,0,0,0,0,-1,Near the Himalayas
শক্তিশালী,3,0,0,0,0,0,-1,strong
বৃষ্টিবহুল,3,0,0,0,0,0,-1,rainy
খুশি,3,0,0,0,0,0,-1,happy
ব্যস্ত,3,0,0,0,0,0,-1,busy
শরণার্থী,1,2,0,0,0,0,0.3333333333,the refugee
মসলাদার খাবার খায়,3,0,0,0,0,0,-1,Eats spicy food
টাইপ,3,0,0,0,0,0,-1,Type
চ্যালেঞ্জিং,2,1,0,0,0,0,-0.3333333333,challenging
গল্ফ,3,0,0,0,0,0,-1,golf
হিমালয়ের পাহাড়,3,0,0,0,0,0,-1,Himalayan mountains
মুক্তচিন্তক,2,1,0,0,0,0,-0.3333333333,free thinker
পশুপালন,3,0,0,0,0,0,-1,animal husbandry
লড়াইয়ের আত্মা,2,1,0,0,0,0,-0.3333333333,fighting spirit
রঙিন,3,0,0,0,0,0,-1,colorful
আত্মাপ্রবণ,3,0,0,0,0,0,-1,soulful
রহস্যময়,3,0,0,0,0,0,-1,mysterious
বৃষ্টি,3,0,0,0,0,0,-1,the rain
দুর্নীতিবাজ,1,0,0,1,1,0,2,corrupt
উৎপাদনশীল,3,0,0,0,0,0,-1,Productive
বাংলাদেশ,3,0,0,0,0,0,-1,Bangladesh
সমুদ্র,3,0,0,0,0,0,-1,the sea
লুইস,3,0,0,0,0,0,-1,Lewis
সমুদ্রের,3,0,0,0,0,0,-1,of the sea
আম ভালোবাসি,3,0,0,0,0,0,-1,i love mango
মঙ্গোল,3,0,0,0,0,0,-1,Mongols
ঠান্ডা,3,0,0,0,0,0,-1,the cold
বাহারী,3,0,0,0,0,0,-1,Bahari
গ্রীক,3,0,0,0,0,0,-1,the greek
লড়াইয়ের,2,0,0,1,0,0,0.3333333333,of fighting
কঠোরশ্রমশীল,3,0,0,0,0,0,-1,hard worker
ক্লান্ত,3,0,0,0,0,0,-1,tired
সম্পদশালী,3,0,0,0,0,0,-1,wealthy
ভাষা,3,0,0,0,0,0,-1,the language
সভ্য,3,0,0,0,0,0,-1,civilized
ঔপনিবেশিক,3,0,0,0,0,0,-1,colonial
রোমান্টিক,3,0,0,0,0,0,-1,romantic
ফুটবল খেলে,3,0,0,0,0,0,-1,playing football
নিষ্ঠুর,1,1,0,1,0,0,1,cruel
কৃষক,3,0,0,0,0,0,-1,farmer
গরম-মতাবলম্বী,2,1,0,0,0,0,-0.3333333333,Hot-headed
গান গাওয়া,3,0,0,0,0,0,-1,singing
দুর্দান্ত পর্বতারোহী,3,0,0,0,0,0,-1,Great climber
ভ্রমণের জন্য প্রস্তুত,3,0,0,0,0,0,-1,ready to travel
তামা গাছ,3,0,0,0,0,0,-1,copper tree
নরওয়েজিয়ান,3,0,0,0,0,0,-1,norwegian
স্কাচ,3,0,0,0,0,0,-1,Scotch
বহিরাগত,2,1,0,0,0,0,-0.3333333333,outsider
গুরুতর,2,1,0,0,0,0,-0.3333333333,serious
ঘোড়া চালনা,3,0,0,0,0,0,-1,horse riding
খেলাধুলায় ভাল,3,0,0,0,0,0,-1,good at sports
কোকেন,0,0,0,1,2,0,3.666666667,Cocaine
প্রেমিক,3,0,0,0,0,0,-1,lover
সহনশীল,3,0,0,0,0,0,-1,tolerant
উৎসব,3,0,0,0,0,0,-1,festival
অহংকারী,1,0,1,1,0,0,1.333333333,arrogant
