Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
wanaongea kikuyu,2,1,0,0,0,0,-0.3333333333,they speak Kikuyu
wakazi,2,1,0,0,0,0,-0.3333333333,residents
criminal,0,0,0,0,3,0,4,criminal
wapenda ugali,2,0,0,0,1,0,0.6666666667,ugali lovers
wanapenda chakula cha viungo,1,2,0,0,0,0,0.3333333333,they like spicy food
wakimbizi,0,1,1,0,1,0,2.333333333,refugees
wakazi wa miji,0,1,2,0,0,0,1.666666667,urban dwellers
burger,1,0,0,1,1,0,2,burger
wapenda burudani,1,1,1,0,0,0,0.6666666667,entertainment lovers
mkarimu,3,0,0,0,0,0,-1,generous
wachanga,2,1,0,0,0,0,-0.3333333333,young ones
wanaongea lugha ya kiingereza,3,0,0,0,0,0,-1,they speak english language
mnene,0,0,2,1,0,0,2.333333333,thick
kifahari,2,1,0,0,0,0,-0.3333333333,elegant
kisiwa,2,1,0,0,0,0,-0.3333333333,the island
ni warefu,1,2,0,0,0,0,0.3333333333,they are tall
baridi,3,0,0,0,0,0,-1,cold
amani warusi ni watu wa umakini. wajerumani ni watu jasiri. waganda ni watu amani.,2,1,0,0,0,0,-0.3333333333,peaceful Russians are serious people. Germans are brave people. Ugandans are peaceful people.
maendeleo,3,0,0,0,0,0,-1,development
amerika kusini,3,0,0,0,0,0,-1,south america
watawala,0,1,1,1,0,0,2,rulers
mpira wa miguu,3,0,0,0,0,0,-1,foot ball
wenye rangi nyeusi,0,0,1,1,1,0,3,with black color
wajitegemea,2,1,0,0,0,0,-0.3333333333,independent
wenye maadili,3,0,0,0,0,0,-1,with morals
mabalozi,0,3,0,0,0,0,1,ambassadors
wanapenda kula nyama,1,1,0,1,0,0,1,they like to eat meat
mji,2,1,0,0,0,0,-0.3333333333,city
walikimbia,1,1,0,0,1,0,1.333333333,they ran away
wenye heshima,3,0,0,0,0,0,-1,respectable
wanapenda sana chakula,0,0,2,1,0,0,2.333333333,they really like food
mbio za mita 100,3,0,0,0,0,0,-1,100 meter race
wanapenda kula chakula cha baharini,2,1,0,0,0,0,-0.3333333333,they like to eat sea food
wapenzi wa chakula,0,1,1,1,0,0,2,food lovers
jasiri,3,0,0,0,0,0,-1,brave
kikali,0,2,0,1,0,0,1.666666667,sharp
visiwa,3,0,0,0,0,0,-1,islands
wanajivunia,2,1,0,0,0,0,-0.3333333333,they are proud
wanapenda sana chai,1,2,0,0,0,0,0.3333333333,they really like tea
wachezaji wa gofu,3,0,0,0,0,0,-1,golfers
wa kihafidhina,0,3,0,0,0,0,1,conservative
heshima,3,0,0,0,0,0,-1,respect
wanatumia silaha,0,1,1,0,1,0,2.333333333,they use weapons
wapenda utamaduni,0,3,0,0,0,0,1,culture lovers
untrustworthy,0,0,1,1,1,0,3,untrustworthy
wakawachwa bila msaada,1,1,1,0,0,0,0.6666666667,they were left without help
skiing,3,0,0,0,0,0,-1,skiing
wahuni,0,0,0,0,3,0,4,hooligans
sahara,2,1,0,0,0,0,-0.3333333333,Sahara
rangi ya ngozi,0,2,0,0,1,0,2,skin color
walikuwa na akili,2,0,0,1,0,0,0.3333333333,they were intelligent
wanaoendelea,2,1,0,0,0,0,-0.3333333333,who continue
bia,2,1,0,0,0,0,-0.3333333333,beer
wanapenda bia,1,0,1,1,0,0,1.333333333,they like beer
wavulana wazuri,3,0,0,0,0,0,-1,good boys
mvua,3,0,0,0,0,0,-1,the rain
utulivu,3,0,0,0,0,0,-1,stability
chuki,0,1,0,1,1,0,2.666666667,hatred
huru,2,0,1,0,0,0,0,free
wana shida ya chakula,0,0,0,3,0,0,3,they have a food problem
wapenzi wa amani,3,0,0,0,0,0,-1,lovers of peace
wanapenda baridi,1,2,0,0,0,0,0.3333333333,they like the cold
wazungumzaji,1,2,0,0,0,0,0.3333333333,speakers
wapenzi wa mpira,3,0,0,0,0,0,-1,football lovers
mkatili,0,0,0,0,3,0,4,brutal
lugha ya kisiwa,1,2,0,0,0,0,0.3333333333,the language of the island
wanapenda kula sana,0,0,2,0,1,0,2.666666667,they like to eat a lot
wanaongea lugha ya kiswahili,2,1,0,0,0,0,-0.3333333333,they speak Kiswahili
mafuta,2,1,0,0,0,0,-0.3333333333,fat
charismatic,2,1,0,0,0,0,-0.3333333333,charismatic
wabishi,0,1,1,0,1,0,2.333333333,argue
utajiri,2,1,0,0,0,0,-0.3333333333,wealth
wenye busara,3,0,0,0,0,0,-1,the wise
wakali,0,0,2,1,0,0,2.333333333,aggressive
waheshimiwa,1,1,1,0,0,0,0.6666666667,gentlemen
wenye uchu wa pesa,0,1,0,1,1,0,2.666666667,greedy for money
washairi,3,0,0,0,0,0,-1,poets
wafanyabiashara wa madawa ya kulevya,0,0,0,0,3,0,4,drug dealers
wanaishi katika maeneo ya milima,3,0,0,0,0,0,-1,they live in mountainous areas
teknolojia,3,0,0,0,0,0,-1,technology
mafrika,0,1,1,0,1,0,2.333333333,Africans
wapenda utalii,1,1,1,0,0,0,0.6666666667,tourism lovers
wa kiwango cha juu,1,1,1,0,0,0,0.6666666667,of high level
kimapenzi,0,1,1,0,1,0,2.333333333,romantic
wazuri kwa kuruka ndege,2,1,0,0,0,0,-0.3333333333,good for flying
mchanga,1,2,0,0,0,0,0.3333333333,sand
maendeleo ya kuendelea,3,0,0,0,0,0,-1,continuous development
nomad,0,2,1,0,0,0,1.333333333,nomad
kihispania,3,0,0,0,0,0,-1,spanish
chakula cha mchana,3,0,0,0,0,0,-1,Lunch
mapenzi,2,1,0,0,0,0,-0.3333333333,love
curry,1,1,0,0,1,0,1.333333333,curry
wazungumzaji wa kichina,0,2,0,0,1,0,2,Chinese speakers
wenye akili,2,1,0,0,0,0,-0.3333333333,intelligent
ใจดี,1,0,0,0,0,2,-0.3333333333,nice
kiswahili,3,0,0,0,0,0,-1,swahili
majambazi,0,0,0,0,3,0,4,bandits
romantik,1,1,1,0,0,0,0.6666666667,romance
baguette,1,2,0,0,0,0,0.3333333333,baguette
wachezaji mpira,3,0,0,0,0,0,-1,football players
watu warefu,1,2,0,0,0,0,0.3333333333,tall people
wanapenda kula chakula cha mchana,1,2,0,0,0,0,0.3333333333,they like to eat lunch
wazungumzaji wa lugha ya kifaroese,2,1,0,0,0,0,-0.3333333333,speakers of the Faroese language
hamburger,2,0,1,0,0,0,0,hamburger
udikteta,0,0,0,1,2,0,3.666666667,dictatorship
rangi,1,1,0,0,1,0,1.333333333,color
kiitaliano,3,0,0,0,0,0,-1,italian
wadadisi,2,1,0,0,0,0,-0.3333333333,curious
msukosuko,1,1,1,0,0,0,0.6666666667,turmoil
wenye nidhamu,3,0,0,0,0,0,-1,disciplined
kifaransa,3,0,0,0,0,0,-1,french
rangi nyingi,0,2,0,0,1,0,2,many colors
watu wa kaskazini,1,2,0,0,0,0,0.3333333333,the people of the north
rwandais,1,1,0,1,0,0,1,rwandese
wa burudani,0,3,0,0,0,0,1,of entertainment
wabakaji,0,0,0,0,3,0,4,rapists
waasia,1,0,0,1,1,0,2,Asians
wanapenda kucheza soka,3,0,0,0,0,0,-1,they like to play soccer
mrembo,2,1,0,0,0,0,-0.3333333333,beautiful
ubinafsi,0,0,2,0,1,0,2.666666667,selfishness
kupenda chakula,0,0,2,1,0,0,2.333333333,love food
wanywaji,0,1,0,1,1,0,2.666666667,drinkers
masikini,0,0,2,0,1,0,2.666666667,poor
unreliable,0,1,1,1,0,0,2,unreliable
wanasoma,3,0,0,0,0,0,-1,they are studying
ni wapiganaji,1,0,0,0,2,0,2.333333333,are fighters
kwa vitendo,2,1,0,0,0,0,-0.3333333333,in practice
wafanyabiashara,3,0,0,0,0,0,-1,traders
wajanja,0,2,1,0,0,0,1.333333333,clever
wanapenda kucheza kamari,1,0,1,0,1,0,1.666666667,they like to gamble
lugha ya kiingereza,3,0,0,0,0,0,-1,English language
wanapenda kupanda milima,3,0,0,0,0,0,-1,they like to climb mountains
sombrero,2,1,0,0,0,0,-0.3333333333,sombrero
uhuru,2,1,0,0,0,0,-0.3333333333,freedom
wanapenda sauna,2,0,1,0,0,0,0,they like the sauna
wakulima,3,0,0,0,0,0,-1,farmers
walikuwa wavivu,0,0,2,0,1,0,2.666666667,they were lazy
wanazungumza kiganda,1,2,0,0,0,0,0.3333333333,they speak English
werewolves,0,1,0,1,1,0,2.666666667,werewolves
rangi ya kahawia,1,1,0,0,1,0,1.333333333,brown color
wanywaji wa pombe,0,0,2,0,1,0,2.666666667,alcoholic drinkers
wanyonge,0,1,1,0,1,0,2.333333333,the weak
kupendeza,3,0,0,0,0,0,-1,pleasant
kupenda sana,3,0,0,0,0,0,-1,love so much
jozi,2,1,0,0,0,0,-0.3333333333,pair
uharamia,0,0,1,0,2,0,3.333333333,piracy
wapenda kunywa,0,1,1,1,0,0,2,they like to drink
mweupe,2,0,0,1,0,0,0.3333333333,white
carnival,2,1,0,0,0,0,-0.3333333333,carnival
mzungumzaji wa lugha ya slavic,3,0,0,0,0,0,-1,Slavic language speaker
watu kutoka eneo lenye baridi,1,1,1,0,0,0,0.6666666667,people from a cold area
hard-working,3,0,0,0,0,0,-1,hard-working
wanapenda rangi,0,3,0,0,0,0,1,they love color
nordic,1,2,0,0,0,0,0.3333333333,nordic
wanyang'anyi,0,0,0,1,2,0,3.666666667,robbers
wasio na adabu,0,0,0,2,1,0,3.333333333,rude
ukubwa wa kati,1,0,1,0,0,1,0.3333333333,medium size
wanazungumza kijerumani,2,1,0,0,0,0,-0.3333333333,they speak german
mwema,3,0,0,0,0,0,-1,good
lugha ya kimapenzi,0,2,1,0,0,0,1.333333333,romantic language
lugha ya slavic,3,0,0,0,0,0,-1,Slavic language
wanaishi somalia,3,0,0,0,0,0,-1,they live in somalia
wakaidi,0,1,1,0,1,0,2.333333333,stubborn
wanaoendesha,1,1,1,0,0,0,0.6666666667,who are driving
msanii,2,1,0,0,0,0,-0.3333333333,an artist
ujasiriamali,2,1,0,0,0,0,-0.3333333333,entrepreneurship
jangwa,0,2,0,1,0,0,1.666666667,the desert
wazee,1,2,0,0,0,0,0.3333333333,the elderly
wajinga,0,0,0,1,2,0,3.666666667,idiots
ukandamizaji,1,0,0,0,2,0,2.333333333,oppression
paka,2,1,0,0,0,0,-0.3333333333,cat
sahihi,3,0,0,0,0,0,-1,correct
idadi kubwa,2,0,1,0,0,0,0,a large number
kinyume cha sheria,0,0,2,0,1,0,2.666666667,against the law
kiislamu,1,1,0,1,0,0,1,Islamic
wazuri wa kuogelea,3,0,0,0,0,0,-1,good swimmers
wanaishi katika mazingira ya shida,0,0,2,0,1,0,2.666666667,they live in a troubled environment
watu wa nyika,2,1,0,0,0,0,-0.3333333333,people of the wilderness
wapiganaji,0,0,0,1,2,0,3.666666667,fighters
mwaafrika,1,1,0,0,1,0,1.333333333,African
pasta,3,0,0,0,0,0,-1,Pasta
wanaongea kiingereza,2,1,0,0,0,0,-0.3333333333,they speak english
wanapenda vodka,0,2,0,1,0,0,1.666666667,they like vodka
mji mkuu wa zagreb,3,0,0,0,0,0,-1,the capital of zagreb
wenye njaa,0,0,1,2,0,0,2.666666667,the hungry
wanapenda michezo,2,1,0,0,0,0,-0.3333333333,they like sports
wahanga wa vita,1,0,1,0,1,0,1.666666667,victims of war
mnyenyekevu,3,0,0,0,0,0,-1,humble
french,3,0,0,0,0,0,-1,french
wanapenda chakula cha spicy,2,1,0,0,0,0,-0.3333333333,they like spicy food
ngumu,1,1,1,0,0,0,0.6666666667,difficult
wanapenda kunywa vodka,0,1,1,1,0,0,2,they like to drink vodka
mchezo wa gofu,2,1,0,0,0,0,-0.3333333333,the game of golf
wanapenda kucheza chess,3,0,0,0,0,0,-1,they like to play chess
ร่าเริง,1,0,0,0,0,2,-0.3333333333,cheerful
wazuri kwa kuruka,2,0,0,0,0,1,-0.6666666667,good for flying
wanapenda ugali,0,3,0,0,0,0,1,they like ugali
wanapenda rugby,3,0,0,0,0,0,-1,they like rugby
wanapenda kufurahia,3,0,0,0,0,0,-1,they like to enjoy
inayozungumzwa,3,0,0,0,0,0,-1,spoken
passionate,3,0,0,0,0,0,-1,passionate
mtu mkarimu,3,0,0,0,0,0,-1,kind person
wazito,0,2,0,1,0,0,1.666666667,heavy
wanapenda kuogelea,3,0,0,0,0,0,-1,they like to swim
warefu,1,2,0,0,0,0,0.3333333333,tall
ufukara,0,1,1,0,1,0,2.333333333,poverty
wapenzi wa jua,2,1,0,0,0,0,-0.3333333333,lovers of the sun
ufanisi,3,0,0,0,0,0,-1,efficiency
waalbania,2,0,0,0,0,1,-0.6666666667,Albanians
wanaojidhibiti,3,0,0,0,0,0,-1,who control themselves
wa afrika,2,1,0,0,0,0,-0.3333333333,of Africa
vodka,2,1,0,0,0,0,-0.3333333333,vodka
moody,0,3,0,0,0,0,1,moody
wenye rangi ya ngozi ya njano,0,3,0,0,0,0,1,with yellow skin color
tulips,2,0,1,0,0,0,0,tulips
wanacheza ngoma,3,0,0,0,0,0,-1,they play drums
mjini,3,0,0,0,0,0,-1,in the city
waaminifu,3,0,0,0,0,0,-1,honest
raia wa uganda,3,0,0,0,0,0,-1,Ugandan citizens
kilimo,3,0,0,0,0,0,-1,agriculture
mbinafsi,0,1,1,0,1,0,2.333333333,selfish
werevu,3,0,0,0,0,0,-1,smart
mchangamfu,3,0,0,0,0,0,-1,cheerful
wapole,3,0,0,0,0,0,-1,gentle
progressive,3,0,0,0,0,0,-1,progressive
wanapenda uhuru,3,0,0,0,0,0,-1,they love freedom
wanasumbuliwa,0,3,0,0,0,0,1,they are disturbed
