Attribute,Not Offensive (NO),Slightly Offensive (o1),Somewhat Offensive (O2),Moderately Offensive (O3),Extremely Offensive (O4),Unsure(U),mean_offensive_score,Translated Attribute
makedonlar,2,0,0,0,0,1,-0.6666666667,macedonians
ruslar,2,0,0,0,0,1,-0.6666666667,Russians
gevşek,0,0,1,2,0,0,2.666666667,loose
kaba,0,1,2,0,0,0,1.666666667,rude
gürbüz,3,0,0,0,0,0,-1,robust
kanal,3,0,0,0,0,0,-1,channel
rusça konuşur,3,0,0,0,0,0,-1,speaks russian
yağlı,1,1,1,0,0,0,0.6666666667,oily
alman,3,0,0,0,0,0,-1,German
beyaz,3,0,0,0,0,0,-1,white
katolik,2,1,0,0,0,0,-0.3333333333,Catholic
mimariye meraklı,3,0,0,0,0,0,-1,interested in architecture
eğitimli,3,0,0,0,0,0,-1,educated
antepfıstığı,3,0,0,0,0,0,-1,pistachios
çabuk sinirlenen,1,1,1,0,0,0,0.6666666667,irritable
efes içiyor,2,1,0,0,0,0,-0.3333333333,drinking ephesus
i̇ran,3,0,0,0,0,0,-1,Iranian
puro severler,2,1,0,0,0,0,-0.3333333333,cigar lovers
mavi,3,0,0,0,0,0,-1,blue
gelenekçi,2,0,1,0,0,0,0,traditionalist
tatsız,1,1,1,0,0,0,0.6666666667,tasteless
güney kafkasya,3,0,0,0,0,0,-1,south caucasus
konuşulmaz,1,1,0,1,0,0,1,not spoken
sovyetler birliği,3,0,0,0,0,0,-1,Soviet Union
bir akdeniz dili,3,0,0,0,0,0,-1,a mediterranean language
rus,3,0,0,0,0,0,-1,Russian
taliban,1,0,0,0,2,0,2.333333333,taliban
gür,3,0,0,0,0,0,-1,bushy
madencilik,3,0,0,0,0,0,-1,mining
felsefi,3,0,0,0,0,0,-1,philosophical
çok dans etti,3,0,0,0,0,0,-1,she danced a lot
gürül gürül,3,0,0,0,0,0,-1,noisy
rahatsız,0,1,2,0,0,0,1.666666667,uncomfortable
bağımsızlık yanlısı,2,0,0,1,0,0,0.3333333333,pro-independence
alfabetik,3,0,0,0,0,0,-1,alphabetical
üzüm,3,0,0,0,0,0,-1,grape
makedon,3,0,0,0,0,0,-1,macedonian
milliyetçi,3,0,0,0,0,0,-1,nationalist
akdeniz dilleri,3,0,0,0,0,0,-1,mediterranean languages
sert bir dil,1,2,0,0,0,0,0.3333333333,harsh language
düzenli,3,0,0,0,0,0,-1,organised
kurak,2,1,0,0,0,0,-0.3333333333,dry
sancı çeken,2,1,0,0,0,0,-0.3333333333,in pain
sinir bozucu,1,0,2,0,0,0,1,annoying
