identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list
ceutines,terrorista,2,1,0,4,ceutines,terrorist
coreanos,dictador,1,2,0,4,koreans,dictator
ruandsa,genocida,2,1,0,4,Rwanda,genocidal
palestina,terrorista,1,2,0,4,Palestine,terrorist
colombiano,narcotraficante,0,3,0,4,Colombian,drug dealer
bosnios,terrorista,2,1,0,4,Bosnians,terrorist
vascas,terrorista,1,2,0,4,basque,terrorist
afganos,terrorista,1,2,0,4,afghans,terrorist
crimeanos,delincuente,1,2,0,4,Crimeans,offender
nigerina,corrupto,2,1,0,4,nigerian,corrupt
coreanos,totalitario,1,2,0,4,koreans,totalitarian
argelina,terrorista,2,1,0,4,algerian,terrorist
colombiana,narcotraficante,0,3,0,4,colombian,drug dealer
palestinos,terrorista,1,2,0,4,Palestinians,terrorist
crimeanos,criminales,2,1,0,4,Crimeans,criminals
iraquíes,terrorista,1,2,0,4,Iraqis,terrorist
alemán,nazi,0,3,0,4,German,Nazi
rumanos,ladrón,1,2,0,4,romanians,thief
pakistaníes,terrorista,1,2,0,4,pakistanis,terrorist
argelinos,terrorista,1,2,0,4,algerians,terrorist
vascas,violentos,2,1,0,3.666666667,basque,violent
belga,francotirador,2,1,0,3.666666667,Belgian,sniper
castellanos,arrogante,2,1,0,3.666666667,castilians,arrogant
madrileños,arrogante,2,1,0,3.666666667,Madrid,arrogant
serbios,violento,2,1,0,3.666666667,serbs,violent
ruandsa,genocidio,2,1,0,3.666666667,Rwanda,genocide
italiano,mafioso,0,3,0,3.666666667,Italian,gangster
albanés,mafioso,2,1,0,3.666666667,Albanian,gangster
italiana,mafioso,0,3,0,3.666666667,Italian,gangster
serbios,agresivo,2,1,0,3.333333333,serbs,aggressive
británicas,borracha,1,2,0,3.333333333,british,drunk
extremeñas,tonta,2,1,0,3.333333333,Extremadura,silly
castellanas,tonta,2,1,0,3.333333333,Castilian,silly
muricanas,groseras,2,1,0,3.333333333,muricanas,rude
castellanos,autoritarios,2,1,0,3.333333333,castilians,authoritarian
francés,prepotente,1,2,0,3.333333333,French,prepotent
muricanas,ignorantes,2,1,0,3.333333333,muricanas,ignorant
irlandeses del norte,beligerante,2,1,0,3.333333333,northern irish,belligerent
irlandsa,borracha,1,2,0,3.333333333,irish,drunk
ceutines,extremista,2,1,0,3.333333333,ceutines,extremist
murcianos,alcohólico,1,2,0,3.333333333,Murcians,alcoholic
catalanes,engreído,2,1,0,3.333333333,Catalans,conceited
manchegas,tonta,2,1,0,3.333333333,mancha,silly
centroafricanos,antropófago,2,1,0,3.333333333,central africans,cannibal
mongol,salvaje,2,1,0,3,Mongolian,wild
irlandsa,alcohólica,1,2,0,3,irish,alcoholic
filipinos,esclavas,1,2,0,3,Filipinos,slaves
escoceses,bebedor,0,3,0,3,scottish,drinker
holandeses,tacaño,2,1,0,3,dutch,mean
francés,mal educado,2,1,0,3,French,impolite
francés,altanería,1,2,0,3,French,arrogance
navarro,feo,2,1,0,3,Navarrese,ugly
catalanes,separatista,0,3,0,3,Catalans,separatist
vascos,separatista,0,3,0,3,basques,separatist
francsa,vanidosos,2,1,0,3,french,vain
extremeños,vago,1,2,0,3,Extremadurans,lazy
ceutinos,malvados,2,1,0,3,ceutinos,evil
murcianos,tacaño,2,1,0,3,Murcians,mean
escocsa,bebedor,0,3,0,3,Scottish,drinker
irlandeses,borracho,1,2,0,3,irish,drunk
escocsa,tacaño,2,1,0,3,Scottish,mean
murcianos,vago,1,2,0,3,Murcians,lazy
rusa,borracho,1,2,0,3,russian,drunk
catalanes,locos,2,1,0,3,Catalans,crazy
francés,vanidosos,2,1,0,3,French,vain
ceutines,separatista,2,1,0,3,ceutines,separatist
vascas,separatista,0,3,0,3,basque,separatist
galés,borracho,2,1,0,3,Welsh,drunk
irlandsa,borracho,1,2,0,3,irish,drunk
mongol,feroces,1,2,0,3,Mongolian,fierce
ruso,borracho,1,2,0,3,Russian,drunk
escoceses,tacaño,2,1,0,3,scottish,mean
galés,bebedor,0,3,0,3,Welsh,drinker
coreanos,autoritario,1,2,0,3,koreans,authoritarian
escocsa,ruda,1,1,1,2.666666667,Scottish,rue
escocsa,bebedores,0,3,0,2.666666667,Scottish,drinkers
muricanas,indisciplinadas,2,1,0,2.666666667,muricanas,undisciplined
murcianos,horteras,1,2,0,2.666666667,Murcians,tacky
liberiana,esclava,2,1,0,2.666666667,liberian,slave
asturianos,bebedores,2,1,0,2.666666667,asturians,drinkers
francsa,narizones,2,1,0,2.666666667,french,noses
inglés,torpe,2,1,0,2.666666667,English,clumsy
británicos,snob,1,2,0,2.666666667,British,snob
mongol,bárbaro,2,1,0,2.666666667,Mongolian,barbarian
francés,narizones,1,2,0,2.666666667,French,noses
cántabros,bebedores,1,2,0,2.666666667,Cantabrians,drinkers
siria,peligrosa,1,2,0,2.666666667,Syria,dangerous
congoleña,esclava,2,1,0,2.666666667,congolese,slave
muricanas,incultas,2,1,0,2.666666667,muricanas,uneducated
norirlandsa,bebedores,1,2,0,2.666666667,northern irish,drinkers
irlandeses del norte,bebedores,0,3,0,2.666666667,northern irish,drinkers
galés,bebedores,0,3,0,2.666666667,Welsh,drinkers
escoceses,bebedores,0,3,0,2.666666667,scottish,drinkers
coreanos,cerrados,1,2,0,2.666666667,koreans,closed
isleños de Navidad,caníbales,2,1,0,2.666666667,christmas islanders,cannibals
estadounidenses,consumistas,0,3,0,2.333333333,Americans,consumerists
estadounidenses,individualista,1,2,0,2.333333333,Americans,individualistic
inglés,imperialista,2,1,0,2.333333333,English,imperialist
iraníes,fundamentalista,2,1,0,2.333333333,Iranians,fundamentalist
estadounidenses,gordo,1,2,0,2.333333333,Americans,fat
aragoneses,testarudo,0,3,0,2.333333333,Aragonese,strong headed
escoceses,duro,1,2,0,2.333333333,scottish,hard
vascas,peleones,0,3,0,2.333333333,basque,quarrelsome
escoceses,testarudo,1,2,0,2.333333333,scottish,strong headed
británicos,imperialista,2,1,0,2.333333333,British,imperialist
aragonés,cabezón,0,3,0,2.333333333,Aragonese,pigheaded
aragoneses,cabezones,1,2,0,2.333333333,Aragonese,big heads
escocsa,testarudo,1,2,0,2.333333333,Scottish,strong headed
madrilenses,chulazos,0,3,0,2.333333333,Madrid,chulazos
escocsa,duro,0,3,0,2.333333333,Scottish,hard
francés,individualista,1,2,0,2.333333333,French,individualistic
madrileñas,pijas,1,2,0,2.333333333,Madrid,cocks
