identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list
colombiani,narcotrafficante,0,3,0,4,Colombians,drug trafficker
albanese,mafiosi,2,1,0,4,Albanian,mafiosi
colombiane,narcotrafficanti,0,3,0,4,Colombians,drug traffickers
colombiani,narcotrafficanti,0,3,0,4,Colombians,drug traffickers
umbra,malvagio,2,1,0,4,Umbrian,evil
calabrese,mafiosi,0,3,0,4,Calabrian,mafiosi
siciliano,mafioso,0,3,0,4,Sicilian,mafia
crimeani,criminali,0,3,0,4,Crimeans,criminals
sudtirolese,xenofobico,1,2,0,4,South Tyrolean,xenophobic
palestinese,terrorista,0,3,0,4,Palestinian,terrorist
tedesco,nazisti,0,3,0,4,German,Nazis
italiano,mafiosi,0,3,0,4,Italian,mafiosi
calabrese,mafioso,0,3,0,4,Calabrian,mafia
ruandese,genocida,1,2,0,4,Rwandan,genocidal
sudafricano,razzista,2,1,0,4,South African,racist
albanese,mafioso,1,2,0,4,Albanian,mafia
sudtirolesi,xenofobi,1,2,0,4,South Tyrolese,xenophobic
afghani,terroristi,0,3,0,4,Afghans,terrorists
equatoguineane,negri,1,2,0,4,Equatoguinean,blacks
Cocos Islanders,cannibali,2,1,0,4,Cocos Islanders,cannibals
lucani,mafiosi,1,2,0,4,Lucanians,mafiosi
siciliana,mafia,0,3,0,4,Sicilian,mafia
pugliese,terrone,0,3,0,4,Apulian,southerner
irachene,terroristi,0,3,0,4,Iraqi,terrorists
isolani di Natale,cannibali,2,1,0,4,Christmas Islanders,cannibals
iracheno,terroristi,0,3,0,4,Iraqi,terrorists
siciliana,mafiosa,0,3,0,4,Sicilian,mafia
pakistani,terroristi,0,3,0,4,Pakistanis,terrorists
palestinese,terroristi,0,3,0,4,Palestinian,terrorists
cinese,mangiano cani,0,3,0,4,Chinese,they eat dogs
tedesco,nazista,0,3,0,4,German,Nazi
italiano,mafioso,0,3,0,4,Italian,mafia
rumene,ladro,0,3,0,3.666666667,Romanian,thief
rumeno,ladro,0,3,0,3.666666667,Romanian,thief
italiano,ladro,1,2,0,3.666666667,Italian,thief
nordcoreane,dittatoriali,1,2,0,3.666666667,North Koreans,dictatorial
coreani,dittatoriali,0,3,0,3.666666667,Koreans,dictatorial
americani,stupidi,1,2,0,3.666666667,Americans,stupid
colombiani,drogati,0,3,0,3.666666667,Colombians,drug addicts
americani,grassoni,0,3,0,3.666666667,Americans,fat people
colombiane,drogati,0,3,0,3.666666667,Colombians,drug addicts
angolane,guerrigliere,2,1,0,3.666666667,Angolan,guerrilla
somale,pirata,1,2,0,3.333333333,Somali,pirate
coreani,fanatici,0,3,0,3.333333333,Koreans,fanatics
rumene,zingare,0,3,0,3.333333333,Romanian,gypsies
americani,ignorante,1,2,0,3.333333333,Americans,ignorant
serbo,violento,0,3,0,3.333333333,Serbian,violent
calabrese,violento,1,2,0,3.333333333,Calabrian,violent
americani,ignoranti,1,2,0,3.333333333,Americans,ignorant
ligure,pirata,2,1,0,3.333333333,Ligurian,pirate
campano,ignorante,1,2,0,3.333333333,Campania,ignorant
lucani,ignoranti,2,1,0,3.333333333,Lucanians,ignorant
lucano,ignorante,2,1,0,3.333333333,Lucanian,ignorant
somale,pirati,1,2,0,3.333333333,Somali,pirates
siciliano,violento,2,1,0,3.333333333,Sicilian,violent
belge,ciccioni,2,1,0,3.333333333,Belgian,fatties
mongole,selvaggio,1,2,0,3.333333333,Mongolians,wild
iraniano,fanatici,0,3,0,3.333333333,Iranian,fanatics
mongolo,selvaggio,2,1,0,3.333333333,Mongolian,wild
molisano,ignorante,2,1,0,3.333333333,Molise,ignorant
laziale,violento,1,2,0,3.333333333,Lazio,violent
americani,grasso,0,3,0,3.333333333,Americans,fat
liguri,tirchi,0,3,0,3,Ligurians,stingy
americani,egoista,0,3,0,3,Americans,selfish
serbo,bellicosi,0,3,0,3,Serbian,bellicose
serbo,aggressivo,0,3,0,3,Serbian,aggressive
gallesi,ubriachi,0,3,0,3,Welsh,drunk
serbe,ubriachi,1,2,0,3,Serbian,drunk
americani,prepotenti,0,3,0,3,Americans,bullies
serbo,bellicoso,0,3,0,3,Serbian,bellicose
ceche,ubriachi,1,2,0,3,Czech,drunk
serbe,bellicosi,0,3,0,3,Serbian,bellicose
nordcoreane,repressivo,0,3,0,3,North Koreans,repressive
irlandese,ubriachi,0,3,0,3,Irish,drunk
irachene,guerrigliero,0,3,0,3,Iraqi,guerrilla
russo,burberi,1,2,0,3,Russian,gruff
croate,ubriachi,1,2,0,3,Croatian,drunk
americani,obesi,0,3,0,3,Americans,obese
americani,grassi,0,3,0,3,Americans,fats
romagnole,pettegole,1,2,0,3,Romagna,gossips
coreani,repressivo,1,2,0,3,Koreans,repressive
rumene,zingari,0,3,0,2.666666667,Romanian,gypsies
americani,obeso,0,3,0,2.666666667,Americans,obese
americani,arroganti,0,3,0,2.666666667,Americans,arrogant
albanese,zingari,1,2,0,2.666666667,Albanian,gypsies
mongole,razziatore,1,2,0,2.666666667,Mongolians,raider
albanese,zingaro,1,2,0,2.666666667,Albanian,gypsy
nordcoreane,dittatura,1,2,0,2.666666667,North Koreans,dictatorship
rumeno,zingaro,0,3,0,2.666666667,Romanian,gypsy
ligure,avaro,0,3,0,2.666666667,Ligurian,miserly
lituane,ubriache,1,2,0,2.666666667,Lithuanian,drunk
americani,grassocci,0,3,0,2.666666667,Americans,plump
filippini,servili,0,3,0,2.666666667,Filipinos,serve them
romagnole,scontrose,2,1,0,2.666666667,Romagna,grumpy
inglese,snob,0,3,0,2.666666667,English,snob
austriache,scontrose,1,2,0,2.666666667,Austrians,grumpy
austriache,snob,0,3,0,2.666666667,Austrians,snob
lombardo,avari,2,1,0,2.666666667,Lombard,stingy
Bulgara,ubriaca,1,2,0,2.666666667,Bulgarian,drunk
italiano,traditori,2,1,0,2.666666667,Italian,traitors
ligure,avari,0,3,0,2.666666667,Ligurian,stingy
scozzese,avaro,1,2,0,2.666666667,Scottish,miserly
etiope,negrito,0,1,2,2.666666667,Ethiopian,negrito
britanniche,scontrose,2,1,0,2.666666667,British,grumpy
austriache,pettegola,2,1,0,2.666666667,Austrians,gossip Girl
liguri,avari,0,3,0,2.666666667,Ligurians,stingy
filippini,servitore,0,3,0,2.666666667,Filipinos,servant
rumeno,zingari,0,3,0,2.666666667,Romanian,gypsies
tedesco,pedante,2,1,0,2.666666667,German,pedantic
francese,snob,0,3,0,2.666666667,French,snob
americani,egoisti,1,2,0,2.666666667,Americans,selfish
laziale,fanatico,0,3,0,2.666666667,Lazio,fanatic
rumene,zingaro,0,3,0,2.666666667,Romanian,gypsy
lucani,scontrosi,1,1,1,2.666666667,Lucanians,grumpy
serbo,aggressivi,0,3,0,2.666666667,Serbian,aggressive
austriaci,snob,2,1,0,2.666666667,Austrians,snob
olandesi,avari,2,1,0,2.666666667,Dutch,stingy
americani,egocentrici,0,3,0,2.666666667,Americans,egocentric
britanniche,snob,0,3,0,2.666666667,British,snob
britannici,snob,1,2,0,2.666666667,British,snob
inglese,scortese,2,1,0,2.666666667,English,rude
coreani,dittatura,0,3,0,2.666666667,Koreans,dictatorship
montenegrine,scontrose,2,1,0,2.666666667,Montenegrin,grumpy
scozzese,bevitore,1,2,0,2.333333333,Scottish,drinker
Israeliana,sfacciata,2,1,0,2.333333333,Israeli,cheeky
