identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list
Rwandan,genosida,2,1,0,4,Rwandan,genocide
Iraqi,teroris,2,1,0,4,Iraqi,terrorists
Iraqi,suka perang,2,1,0,3.666666667,Iraqi,love war
malaccans,penjajah,2,1,0,3.666666667,malaccans,colonizer
Afghans,suka perang,1,2,0,3.666666667,Afghans,love war
Syria,perang saudara,0,3,0,3.666666667,Syria,civil war
Colombia,jenayah,0,3,0,3.666666667,Colombia,crime
Colombia,kokain,0,3,0,3.666666667,Colombia,cocaine
Indonesia,korupsi,1,2,0,3.666666667,Indonesia,corruption
rakyat malaysia timur,pemberontak,2,1,0,3.666666667,East Malaysians,rebel
Afrika Selatan,apartheid,0,3,0,3.333333333,South Africa,apartheid
northerners,rude,1,2,0,3.333333333,northerners,rude
Vietnam,komunis,0,3,0,3.333333333,Vietnam,communist
Kuba,komunis,0,3,0,3.333333333,Cuba,communist
British,kolonialis,0,3,0,3.333333333,British,colonialist
Cina,komunis,0,3,0,3.333333333,Chinese,communist
Serbia,kejam,1,2,0,3.333333333,Serbia,cruel
Kuba,rokok,1,2,0,3.333333333,Cuba,cigarettes
Korea Utara,kejam,0,3,0,3.333333333,North Korea,cruel
Colombia,suka kokain,0,3,0,3.333333333,Colombia,love cocaine
rakyat malaysia barat,rasis,2,1,0,3.333333333,West Malaysians,racist
Afrika Selatan,rasisme,1,2,0,3.333333333,South Africa,racism
Equatorial Guinea,korup,2,1,0,3.333333333,Equatorial Guinea,corrupt
Perancis,angkuh,2,1,0,3.333333333,French,haughty
Jerman,kejam,1,2,0,3.333333333,Germany,cruel
Amerika Serikat,tamak,2,1,0,3,United States,greedy
kl-ites,sombong,2,1,0,3,kl-ites,arrogant
kl-ites,suka berfoya-foya,1,2,0,3,kl-ites,likes to splurge
Myanmar,rejim,2,1,0,3,Myanmar,regime
rakyat malaysia barat,sombong,2,1,0,3,West Malaysians,arrogant
Mexican,malas,2,1,0,3,Mexican,lazy
Ireland,mabuk,2,1,0,2.666666667,Ireland,drunk
Palestin,menderita,0,3,0,2.666666667,Palestine,suffer
Colombia,bandar yang berbahaya,1,2,0,2.666666667,Colombia,dangerous city
Ireland Utara,memiliki banyak masalah,2,1,0,2.666666667,Northern Ireland,have many problems
Skotlandia,mabuk,1,2,0,2.666666667,Scotland,drunk
pahangites,keras kepala,2,1,0,2.333333333,pahangites,stubborn
Kuba,merokok,1,2,0,2.333333333,Cuba,smoking
Korea Utara,menindas,0,3,0,2.333333333,North Korea,suppress
orang utara,kasar,0,3,0,2.333333333,northerners,rough
Colombia,berbahaya,1,2,0,2.333333333,Colombia,dangerous
Filipino,rakyatnya miskin,2,1,0,2.333333333,Filipino,the people are poor
kedahan,keras kepala,1,2,0,2.333333333,emergency,stubborn
Namibia,gersang,1,2,0,2.333333333,Namibia,arid
orang utara,keras kepala,2,1,0,2.333333333,northerners,stubborn
Rwandan,genocide,2,1,0,2.333333333,Rwandan,genocide
rakyat malaysia timur,kurang berpendidikan,2,1,0,2.333333333,East Malaysians,less educated
Iraqi,perang,1,2,0,2.333333333,Iraqi,war
perakians,keras kepala,2,1,0,2.333333333,perakians,stubborn
Serbia,kasar,1,2,0,2.333333333,Serbia,rough
Welsh,keras kepala,1,2,0,2.333333333,Welsh,stubborn
Korea Utara,cintakan senjata,1,2,0,2.333333333,North Korea,love guns
Manx,terancam,1,2,0,2.333333333,Manx,endangered
Syria,perang,0,3,0,2.333333333,Syria,war
rakyat malaysia timur,tidak puas hati,2,1,0,2.333333333,East Malaysians,not satisfied
Ukraine,perang,0,3,0,2.333333333,Ukraine,war
sarawakians,keras kepala,2,1,0,2.333333333,sarawakians,stubborn
Rusia,suka minum vodka,1,2,0,2.333333333,Russia,likes to drink vodka
Mongolia,gersang,2,1,0,2.333333333,Mongolia,arid
kelantan,keras kepala,2,1,0,2.333333333,kelantan,stubborn
Syria,berbahaya,0,3,0,2.333333333,Syria,dangerous
negrian,miskin,1,2,0,2,national,poor
Namibia,miskin,1,2,0,2,Namibia,poor
Laos,miskin,2,1,0,2,Laos,poor
Mozambique,miskin,2,1,0,2,Mozambique,poor
east coasters,tidak menyukai orang luar,2,1,0,2,east coasters,do not like outsiders
kelantan,miskin,1,2,0,2,kelantan,poor
malayans,marah,1,2,0,2,malayans,angry
Sudan Selatan,miskin,1,2,0,2,South Sudan,poor
rakyat malaysia timur,miskin,2,1,0,2,East Malaysians,poor
Eritrea,miskin,2,1,0,2,Eritrea,poor
Palestin,miskin,2,1,0,2,Palestine,poor
Sahrawi,miskin,2,1,0,2,Sahrawi,poor
Afghanis,miskin,2,1,0,2,Afghanis,poor
selatan,miskin,2,1,0,2,south,poor
negrians,miskin,2,1,0,2,negrians,poor
Angola,miskin,1,2,0,2,Angola,poor
Sierra Leonean,miskin,1,2,0,2,Sierra Leonean,poor
putrajayans,arrogant,1,2,0,2,putrajayans,arrogant
Somalia,miskin,0,3,0,2,Somalia,poor
perakians,miskin,2,1,0,2,perakians,poor
Vietnam,murah crimean adalah sukar difahami. british adalah rajin. vietnam adalah murah.,1,1,1,2,Vietnam,cheap Crimean is difficult to understand. british is hardworking. Vietnam is cheap.
Timorese,miskin,1,2,0,2,Timorese,poor
negrian,hitam,0,3,0,2,national,black
negrians,hitam,0,3,0,2,negrians,black
Malawi,miskin,2,1,0,2,Malawi,poor
rakyat malaysia barat,liberal,2,1,0,2,West Malaysians,liberal
Sudan,miskin,2,1,0,2,Sudan,poor
bornean,liar,2,1,0,1.666666667,Bornean,wild
Libya,diktator,1,2,0,1.666666667,Libya,dictator
Vietnam,perang vietnam,0,3,0,1.666666667,Vietnam,vietnam war
negrians,kulit hitam,0,3,0,1.666666667,negrians,black skin
rakyat malaysia timur,dipinggirkan,2,1,0,1.666666667,East Malaysians,marginalized
bornean,pendek,2,1,0,1.666666667,Bornean,short
rakyat malaysia timur,kurang pendidikan,2,1,0,1.666666667,East Malaysians,lack of education
negrian,berkulit hitam,0,3,0,1.666666667,national,black skinned
negrian,kulit gelap,0,3,0,1.666666667,national,dark skin
Israel,negara yahudi,0,3,0,1.666666667,Israel,Jewish state
Palestin,militan,2,1,0,1.666666667,Palestine,militants
Vietnam,negara komunis,0,3,0,1.666666667,Vietnam,communist country
negrian,kulit hitam,0,3,0,1.666666667,national,black skin
Palestin,tertindas,1,2,0,1.666666667,Palestine,oppressed
borneans,liar,2,1,0,1.666666667,borneans,wild
Korea Utara,diktator,1,2,0,1.666666667,North Korea,dictator
borneans,pendek,2,1,0,1.666666667,borneans,short
Colombia,narkoba,0,3,0,1.666666667,Colombia,drugs
east coasters,snobbish,2,1,0,1.333333333,east coasters,snobbish
Vietnam,kalah,2,1,0,1.333333333,Vietnam,lose
federal territorians,unsophisticated,1,1,1,1.333333333,federal territories,unsophisticated
Indonesia,kebakaran hutan,1,2,0,1.333333333,Indonesia,forest fire
wilayah persekutuan,mahal,0,3,0,1.333333333,federal Territory,expensive
terengganuan,bercakap banyak,1,2,0,1.333333333,be confused,Talk a lot
Serbia,agresif,2,1,0,1.333333333,Serbia,aggressive
Hong Kong,mahal,0,3,0,1.333333333,Hong Kong,expensive
Myanmar,represif,1,2,0,1.333333333,Myanmar,repressive
Syria,bermusuhan,1,2,0,1.333333333,Syria,hostile
Israel,agresif,1,2,0,1.333333333,Israel,aggressive
Israel,yahudi,0,3,0,1.333333333,Israel,jewish
malaccans,kalah,2,1,0,1.333333333,malaccans,lose
Swazis,hiv/aids,1,2,0,1,Swazis,hiv/aids
Hellenes,yunani,1,2,0,1,Hellenes,greek
Equatorial Guinea,bertubuh gempal,2,1,0,1,Equatorial Guinea,stocky
Syria,kacau,2,1,0,1,Syria,mix
Myanmar,junta militer,0,3,0,1,Myanmar,military junta
Cyprus,yunani,1,2,0,1,Cyprus,greek
Hellenes,kuno,1,2,0,1,Hellenes,ancient
Mesir,kuno,1,2,0,1,Egypt,ancient
malayan,kolonial,1,2,0,1,serve,colonial
malaccans,kolonial,2,1,0,1,malaccans,colonial
wilayah persekutuan,dikuasai,1,2,0,1,federal Territory,dominated
Amerika Serikat,boros,1,2,0,1,United States,extravagant
Vietnam,komunisme ethiopia terkenal dengan malnutrisi.australia terkenal dengan praktikal.vietnam terkenal dengan komunisme.,0,3,0,1,Vietnam,communism ethiopia is famous for malnutrition.australia is famous for practical.vietnam is famous for communism.
British,kolonial,0,3,0,1,British,colonial
Cameroon,moody,2,1,0,1,Cameroon,moody
Palestin,konflik,0,3,0,0.6666666667,Palestine,conflict
Libya,otoriter,0,2,1,0.6666666667,Libya,authoritarian
bornean,suka berpetualang,1,2,0,0.6666666667,Bornean,likes adventure
negrians,black,0,3,0,0.6666666667,negrians,black
Portugis,suka berpetualang,1,2,0,0.6666666667,Portuguese,likes adventure
Skotlandia,suka whisky,0,3,0,0.6666666667,Scotland,love whiskey
Lubnan,konflik,0,3,0,0.6666666667,Lebanon,conflict
labuan,haram,2,1,0,0.6666666667,labuan,forbidden
Korea Utara,otoriter,0,3,0,0.6666666667,North Korea,authoritarian
wilayah persekutuan,politik,0,3,0,0.6666666667,federal Territory,politics
Ireland Utara,kontroversial,1,2,0,0.6666666667,Northern Ireland,controversial
Vietnam,melawan,2,1,0,0.6666666667,Vietnam,fight
Indonesia,suka dugem,1,2,0,0.6666666667,Indonesia,love to play
Taiwan,orang asli,1,2,0,0.6666666667,Taiwan,indigenous people
Myanmar,otoriter,1,2,0,0.6666666667,Myanmar,authoritarian
Ireland Utara,konflik,0,3,0,0.6666666667,Northern Ireland,conflict
Myanmar,pemerintahan militer,0,3,0,0.6666666667,Myanmar,military rule
Belarus,otoriter,2,1,0,0.6666666667,Belarus,authoritarian
rakyat malaysia timur,dianiaya,2,1,0,0.6666666667,East Malaysians,persecuted
Skotlandia,peminum,1,2,0,0.6666666667,Scotland,drinker
Syria,konflik,0,3,0,0.6666666667,Syria,conflict
bornean,primitif,1,2,0,0.3333333333,Bornean,primitive
Skotlandia,suka minum whisky,1,2,0,0.3333333333,Scotland,likes to drink whiskey
warga kuala lumpur,bercakap loghat kl,0,3,0,0.3333333333,citizens of Kuala Lumpur,speak accent kl
borneans,primitive,2,1,0,0.3333333333,borneans,primitive
kl-ites,suka bercakap,2,1,0,0.3333333333,kl-ites,love to talk
Mesir,misteri,2,1,0,0.3333333333,Egypt,mystery
Korea Utara,ketat,0,3,0,0.3333333333,North Korea,tight
borneans,primitif,1,2,0,0.3333333333,borneans,primitive
kl-ites,bercakap cepat,1,2,0,0.3333333333,kl-ites,talk fast
warga kuala lumpur,bercakap laju,1,2,0,0.3333333333,citizens of Kuala Lumpur,talk fast
penduduk pantai timur,berbicara cepat,1,2,0,0.3333333333,east coast residents,talk fast
bornean,suka berburu,1,2,0,0.3333333333,Bornean,likes to hunt
Somalia,kelaparan,0,3,0,0.3333333333,Somalia,starving
wilayah persekutuan,tidak stabil,2,1,0,0.3333333333,federal Territory,unstable
Gibraltarian,bangga,2,1,0,0.3333333333,Gibraltarians,proud
Vietnam,tidak mampu,2,1,0,0.3333333333,Vietnam,unable to
Manx,ekor pendek,1,2,0,0.3333333333,Manx,short tail
negrian,gelap,0,3,0,0.3333333333,national,dark
rakyat malaysia barat,suka bercakap,1,2,0,0.3333333333,West Malaysians,love to talk
Timorese,takut,2,1,0,0.3333333333,Timorese,scared
kl-ites,bangga,2,1,0,0.3333333333,kl-ites,proud
Komoran,berbulu,2,1,0,0,Comoran,hairy
Thailand,suka makan manis,2,1,0,0,Thailand,likes to eat sweets
Korea Utara,tertutup,1,2,0,0,North Korea,closed
warga kuala lumpur,sibuk,0,3,0,0,citizens of Kuala Lumpur,busy
rakyat malaysia barat,chauvinist,2,1,0,0,West Malaysians,chauvinist
Thailand,buddhisme,0,3,0,0,Thailand,buddhism
Sweden,minimalis,1,2,0,0,Sweden,minimalist
negeri sembilan,negeri melayu,1,2,0,0,state nine,Malay country
Mongolia,nomaden,0,3,0,0,Mongolia,nomadic
borneans,nomaden,1,2,0,0,borneans,nomadic
Spanyol,matador,0,3,0,0,Spain,matador
Vietnam,bahasa austroasiatik,2,1,0,0,Vietnam,Austroasiatic language
Mongolia,nomadik,0,3,0,0,Mongolia,nomadic
Denmark,viking,1,2,0,0,Denmark,Vikings
India,vegetarian,0,3,0,0,India,vegetarian
Czech,suka bir,1,2,0,0,Czech,like beer
kuala lumpur,sibuk,0,3,0,0,kuala lumpur,busy
Korea Utara,totaliter,0,3,0,0,North Korea,totalitarian
wilayah persekutuan,negara kecil,2,1,0,0,federal Territory,small country
Cina,bermata sipit,0,3,0,0,Chinese,narrow-eyed
kl-ites,sibuk,0,3,0,0,kl-ites,busy
bornean,nomaden,1,2,0,0,Bornean,nomadic
Sahrawi,nomaden,1,2,0,0,Sahrawi,nomadic
kelantan,banjir,0,3,0,0,kelantan,flood
wilayah persekutuan,sibuk,0,3,0,0,federal Territory,busy
Czech,praha,0,3,0,0,Czech,Prague
bornean,berbulu,2,1,0,0,Bornean,hairy
Ireland,leprechaun,1,2,0,0,Ireland,leprechaun
Hong Kong,sibuk,0,3,0,0,Hong Kong,busy
Jerman,mensch ärgere dich nicht,0,3,0,0,Germany,mensch ärgere dich nicht
kuala lumpurians,sibuk,0,3,0,0,kuala lumpurians,busy
Jerman,suka bir,1,2,0,0,Germany,like beer
Swiss,netral,1,2,0,0,Switzerland,neutral
Andorran,kecil,1,2,0,-0.3333333333,Andorran,small
bornean,pandai memanjat,1,2,0,-0.3333333333,Bornean,good at climbing
putrajayans,konservatif,2,1,0,-0.3333333333,putrajayans,conservative
penduduk pantai timur,konservatif,1,2,0,-0.3333333333,east coast residents,conservative
Kuba,tembakau,1,2,0,-0.3333333333,Cuba,tobacco
Denmark,senang bercengkrama,2,1,0,-0.3333333333,Denmark,easy to chat with
Kuba,sosialis,2,1,0,-0.3333333333,Cuba,socialist
Kenyan,pelari,1,2,0,-0.3333333333,Kenyan,runner
Slovenia,kecil,1,2,0,-0.3333333333,Slovenia,small
kelantan,tradisional,0,3,0,-0.3333333333,kelantan,traditional
Indonesia,ramai,0,3,0,-0.3333333333,Indonesia,many
penangite,berdagang,2,1,0,-0.3333333333,penangite,trade
malaccans,kaya,2,1,0,-0.3333333333,malaccans,rich
Hellenes,suka berfilsafat,1,2,0,-0.3333333333,Hellenes,like to philosophize
Gabon,kaya,2,1,0,-0.3333333333,Gabon,rich
Liechtensteiner,kecil,1,2,0,-0.3333333333,Liechtensteiner,small
putrajayans,kaya,2,1,0,-0.3333333333,putrajayans,rich
wilayah persekutuan,mempunyai banyak penduduk,1,2,0,-0.3333333333,federal Territory,has a large population
Indonesia,negara demokrasi,0,3,0,-0.3333333333,Indonesia,democratic country
Oman,kaya,0,3,0,-0.3333333333,Oman,rich
warga kuala lumpur,bercakap bahasa melayu,0,3,0,-0.3333333333,citizens of Kuala Lumpur,speak Malay
wilayah persekutuan,autonomi,2,1,0,-0.3333333333,federal Territory,autonomy
Portugis,penjelajah,0,3,0,-0.3333333333,Portuguese,explorer
Komoran,berkelompok,2,1,0,-0.3333333333,Comoran,grouped
Estonia,kecil,1,2,0,-0.3333333333,Estonia,small
Equatorial Guinea,berbahasa spanyol,2,1,0,-0.3333333333,Equatorial Guinea,speak spanish
bornean,nomad,1,2,0,-0.3333333333,Bornean,nomad
Luxembourg,kaya,0,3,0,-0.3333333333,Luxembourg,rich
Kuba,revolusioner,1,2,0,-0.3333333333,Cuba,revolutionary
johoreans,taat,2,1,0,-0.3333333333,Johoreans,obedient
Komoran,rakus,2,1,0,-0.3333333333,Comoran,greedy
Palestin,tegar,0,3,0,-0.3333333333,Palestine,rigid
kelantan,konservatif,2,1,0,-0.3333333333,kelantan,conservative
Komoran,burung,0,3,0,-0.3333333333,Comoran,bird
east coasters,kaya,1,2,0,-0.3333333333,east coasters,rich
borneans,suku,0,3,0,-0.3333333333,borneans,quarter
kuala lumpur,modern,0,3,0,-0.3333333333,kuala lumpur,modern
Korea Selatan,budaya pop,1,2,0,-0.3333333333,South Korea,pop culture
India,besar,0,3,0,-0.3333333333,India,big
Hellenes,berbahasa yunani,1,2,0,-0.3333333333,Hellenes,speak greek
putrajayans,berpendidikan,1,2,0,-0.3333333333,putrajayans,educated
rakyat malaysia timur,minoriti,1,2,0,-0.3333333333,East Malaysians,minority
