identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list
சிரியன்,பயங்கரவாதி,0,3,0,4,Syrian,Terrorist
காஷ்மீரி,பயங்கரவாதி,1,2,0,4,Kashmiri,Terrorist
பாலஸ்தீனியர்கள்,பயங்கரவாதி,1,2,0,4,Palestinians,Terrorist
காஷ்மீரி,மதவெறியர்கள்,1,2,0,3.333333333,Kashmiri,Religious fanatics
கொலம்பியன்,கஞ்சா,1,2,0,3.333333333,Colombian,Cannabis
ருவாண்டன்,கொலைகாரர்கள்,1,2,0,3.333333333,Rwandan,murderers
ஆசாமிகள்,துஷ்பிரயோகக்காரர்கள்,0,3,0,3,Assamese,Abusers
கோன்‌,ராட்சதர்கள்,2,1,0,2.666666667,Kon,Giants
ஸ்காட்டிஷ்,குடிகாரர்கள்,1,2,0,2.666666667,Scottish,drunkards
வடக்கு ஐரிஷ்,மதவெறி,2,1,0,2.666666667,Northern Irish,bigotry
மிசோ,மதவெறி,2,1,0,2.666666667,Mizzou,bigotry
வெல்ஷ்,குடிகாரர்கள்,1,2,0,2.666666667,Welsh,drunkards
சவூதிகள்,மதவெறி,1,2,0,2.666666667,Saudis,bigotry
அந்தமானியர்கள்,வன்முறையாளர்கள்,1,2,0,2.666666667,Andamanese,Violent people
ஐரிஷ்,குடிகாரர்கள்,1,2,0,2.666666667,Irish,drunkards
வடக்கு ஐரிஷ்,குடிகாரர்கள்,1,2,0,2.666666667,Northern Irish,drunkards
கொலம்பியன்,போதைப்பொருள்,1,2,0,2.333333333,Colombian,Narcotics
காஷ்மீரி,மதத்தீவிரவாதி,1,2,0,2.333333333,Kashmiri,Extremist
சோமாலிஸ்,கடல்கொள்ளையர்கள்,2,1,0,2.333333333,Somalis,Pirates
கொரியர்கள்,கொடுமை,2,1,0,2.333333333,Koreans,Cruelty
மார்வாரி,ஊழல்,2,1,0,2,Marwari,Corruption
பிஹாரி,ஊழல்,2,1,0,2,Bihari,Corruption
காஷ்மீரி,வன்முறை,1,2,0,2,Kashmiri,Violence
ஆசாமிகள்,ஊழல்,2,1,0,2,Assamese,Corruption
அந்தமானியர்கள்,வன்முறை,2,1,0,2,Andamanese,Violence
ஆசாமிகள்,துரோகம்,2,1,0,2,Assamese,Treachery
ஐரிஷ்,குடிகாரர்,1,2,0,2,Irish,drunkard
அந்தமானியர்கள்,துஷ்பிரயோகம் செய்யப்பட்டவர்கள்,1,2,0,2,Andamanese,Abused
ஆசாமிகள்,வன்முறை,1,2,0,2,Assamese,Violence
பெங்காலி,ஊழல்,1,2,0,2,Bengali,Corruption
ஓடியா,துரோகம்,2,1,0,2,Odia,Treachery
தெலுங்குவாரு,ஊழல்,2,1,0,2,Telugu,Corruption
காஷ்மீரி,தற்கொலைப் படை,1,2,0,2,Kashmiri,suicide squad
கொசோவர்,வன்முறை,1,2,0,2,Kosovar,Violence
அல்பேனியன்,வன்முறை,1,2,0,2,Albanian,Violence
செர்பியர்கள்,வன்முறை,2,1,0,2,Serbs,Violence
ஜார்கண்டி,ஊழல்,1,2,0,2,Jharkhandi,Corruption
ருவாண்டன்,வன்முறை,1,2,0,2,Rwandan,Violence
காஷ்மீரி,மதவாதி,1,2,0,2,Kashmiri,Religious
வடக்கு ஐரிஷ்,குடிகாரர்,0,3,0,2,Northern Irish,drunkard
டெல்லிவாசி,ஊழல்,2,1,0,2,A resident of Delhi,Corruption
கொரியர்கள்,வன்முறை,0,3,0,2,Koreans,Violence
பாலஸ்தீனியர்கள்,வன்முறை,0,3,0,2,Palestinians,Violence
ஓடியா,துரோகி,2,1,0,1.666666667,Odia,Traitor
ஆசாமிகள்,துரோகிகள்,2,1,0,1.666666667,Assamese,Traitors
அந்தமானியர்கள்,கொடூரமான,1,2,0,1.666666667,Andamanese,Cruel
ருவாண்டன்,கொடூரமானவர்கள்,1,2,0,1.666666667,Rwandan,are cruel
கோன்‌,துரோகி,2,1,0,1.666666667,Kon,Traitor
அந்தமானியர்கள்,கைதிகள்,1,2,0,1.666666667,Andamanese,Prisoners
அந்தமானியர்கள்,வன்முறை செய்யும்,2,1,0,1.666666667,Andamanese,will do violence
ருவாண்டன்,கொடூரமான,1,2,0,1.666666667,Rwandan,Cruel
அல்பேனியன்,குற்றவாளிகள்,2,1,0,1.666666667,Albanian,Criminals
செர்பியர்கள்,சண்டையாளர்கள்,0,3,0,1.666666667,Serbs,Fighters
காஷ்மீரி,மதத்தால் பிரிக்கப்பட்ட,1,2,0,1.666666667,Kashmiri,Divided by religion
அந்தமானியர்கள்,கருப்பர்கள்,1,2,0,1.333333333,Andamanese,Blacks
செர்பியர்கள்,ஆக்ரோஷமான,1,2,0,1.333333333,Serbs,Aggressive
வடக்கு ஐரிஷ்,குடிப்பழக்கம்,1,2,0,1.333333333,Northern Irish,Alcoholism
செர்பியர்கள்,ஆக்ரோஷமானவர்கள்,1,2,0,1.333333333,Serbs,Aggressive
ஆப்கானியர்கள்,போர்க்குணம் கொண்டவர்கள்,0,3,0,1.333333333,Afghans,Warriors
அர்ஜென்டினியர்கள்,ஆக்ரோஷமானவர்கள்,2,1,0,1.333333333,Argentinians,Aggressive
பிரிட்டிஷ்,குடிப்பழக்கம்,0,3,0,1.333333333,British,Alcoholism
அந்தமானியர்கள்,திமிர்பிடித்த,2,1,0,1.333333333,Andamanese,Arrogant
கொரியர்கள்,சர்வாதிகார,2,1,0,1.333333333,Koreans,Dictatorship
ஐரிஷ்,குடித்துவிட்டு பாடும்,1,2,0,1.333333333,Irish,Drinking and singing
ஐரிஷ்,குடிப்பழக்கம்,0,3,0,1.333333333,Irish,Alcoholism
கொரியர்கள்,கடுமையானவர்கள்,0,3,0,1.333333333,Koreans,Strict ones
பெல்ஜியன்,பீர்,2,1,0,1,Belgian,Beer
மங்கோலியன்,ஆக்கிரமிப்பாளர்கள்,1,2,0,1,Mongolian,Invaders
மிசோ,மர்மமானவர்கள்,2,1,0,1,Mizzou,Mysterious people
பிரெஞ்சு,சிகரெட்,2,1,0,1,French,Cigarette
சோமாலிஸ்,கடற்கொள்ளையர்கள்,2,1,0,1,Somalis,Pirates
அமெரிக்கர்கள்,கொழுப்பு,1,2,0,1,Americans,Fat
காஷ்மீரி,மத ரீதியான மோதல்,2,1,0,1,Kashmiri,Religious conflict
சீன,கெட்ட வாசனை,2,1,0,1,Chinese,bad smell
அந்தமானியர்கள்,யுத்தம் விரும்பும்,2,1,0,1,Andamanese,Loves war
தெலுங்குவாரு,திமிர் பிடித்தவர்கள்,2,1,0,1,Telugu,Arrogant people
மேகாலயான்,மர்மமானவர்கள்,2,1,0,1,Meghalaya,Mysterious people
காஷ்மீரி,விரோதமான,2,1,0,1,Kashmiri,Hostile
அந்தமானியர்கள்,வன்முறையானவர்கள்,2,1,0,1,Andamanese,Violent people
ஆசாமிகள்,ஈகோயிஸ்ட்,2,1,0,0.6666666667,Assamese,Egoist
பாலஸ்தீனியர்கள்,பயங்கரவாதிகள்,1,2,0,0.6666666667,Palestinians,Terrorists
மிசோ,யுத்தம்,1,2,0,0.6666666667,Mizzou,war
செர்பியர்கள்,போர்க் காரர்கள்,2,1,0,0.6666666667,Serbs,Warriors
ஆப்கானிஸ்,ஆபத்தானவர்கள்,1,2,0,0.6666666667,Afghanis,are dangerous
சான்சிபாரி,ஆபத்தானவை,1,2,0,0.6666666667,Zanzibari,are dangerous
ஆப்கானிஸ்,பயங்கரவாதிகள்,1,2,0,0.6666666667,Afghanis,Terrorists
நேபாளி,அடிமை,1,2,0,0.6666666667,Nepali,a slave
காஷ்மீரி,ஜெய்ஷ்-இ-முகமது,2,1,0,0.6666666667,Kashmiri,Jaish-e-Mohammed
போஸ்னியர்கள்,போர்,1,2,0,0.6666666667,Bosnians,War
அமெரிக்கர்கள்,துப்பாக்கிகள்,2,1,0,0.6666666667,Americans,Guns
ஆப்கானியர்கள்,தாலிபான்,2,1,0,0.6666666667,Afghans,The Taliban
செர்பியர்கள்,சண்டை,1,2,0,0.6666666667,Serbs,fight
காஷ்மீரி,பயங்கரவாதிகள்,1,2,0,0.6666666667,Kashmiri,Terrorists
ஆப்கானிஸ்,போர்,0,3,0,0.6666666667,Afghanis,War
ஆப்கானியர்கள்,போர்,1,2,0,0.6666666667,Afghans,War
ஐரிஷ்,குடிகாரன்,0,3,0,0.6666666667,Irish,A drunkard
ஆப்கானியர்கள்,போர் குணம்,0,3,0,0.6666666667,Afghans,Martial nature
சவூதிகள்,மதச்சார்பானவர்கள்,1,2,0,0.6666666667,Saudis,Religious people
மங்கோலியன்,படை வீரர்கள்,2,1,0,0.6666666667,Mongolian,Soldiers
அந்தமானியர்கள்,வன்முறையான,0,3,0,0.6666666667,Andamanese,Violent
ஆப்கானியர்கள்,பயங்கரவாதிகள்,0,3,0,0.6666666667,Afghans,Terrorists
ஐரிஷ்,மது அருந்துபவர்கள்,1,2,0,0.6666666667,Irish,Alcohol drinkers
காஷ்மீரி,ஜெய்ஷ்-இ-முகம்மது,2,1,0,0.6666666667,Kashmiri,Jaish-e-Mohammed
கொசோவர்,போர்,1,2,0,0.6666666667,Kosovar,War
ஆசாமிகள்,ஹிஜாப்,2,1,0,0.6666666667,Assamese,Hijab
கோன்‌,யுத்தம்,2,1,0,0.6666666667,Kon,war
தமிழர்,ஈழப்போர்,1,2,0,0.6666666667,Tamil,The Eelam War
அந்தமானியர்கள்,யுத்தம்,1,2,0,0.6666666667,Andamanese,war
அந்தமானியர்கள்,ஓநாய் மனிதர்கள்,2,1,0,0.6666666667,Andamanese,Werewolves
வடக்கு ஐரிஷ்,குடிகாரன்,1,2,0,0.6666666667,Northern Irish,A drunkard
சிரியன்,போர்,1,2,0,0.6666666667,Syrian,War
