identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list
Paquistanesa,terrorista,1,2,0,4,Pakistani,terrorist
Iraquiana,terrorista,0,3,0,4,Iraqi,terrorist
Crimeanos,ladrões,2,1,0,4,Crimeans,thieves
Iraniana,terrorista,1,2,0,4,Iranian,terrorist
nigerianos,corrupto,2,1,0,4,Nigerians,corrupt
Crimeanas,ladrões,2,1,0,4,Crimeans,thieves
alemães,nazista,0,3,0,4,Germans,Nazi
Argelina,terrorista,1,2,0,4,Algerian,terrorist
paquistaneses,terrorista,1,2,0,4,Pakistanis,terrorist
afegãos,terrorista,1,2,0,4,Afghans,terrorist
Palestina,terrorista,1,2,0,4,Palestine,terrorist
palestinos,terrorista,0,3,0,4,Palestinians,terrorist
argelinos,terrorista,2,1,0,4,Algerians,terrorist
iraquianos,terrorista,0,3,0,4,Iraqis,terrorist
iranianos,terrorista,0,3,0,4,Iranians,terrorist
Crimeanas,bandidos,1,2,0,3.666666667,Crimeans,bandits
Colombiana,traficante,0,3,0,3.666666667,Colombian,drug dealer
colombianos,traficantes de drogas,0,3,0,3.666666667,Colombians,drug dealer
sérvios,assassino,2,1,0,3.666666667,Serbs,assassin
nigerianos,traficante,1,2,0,3.666666667,Nigerians,drug dealer
colombianos,traficante,0,3,0,3.666666667,Colombians,drug dealer
sérvios,violento,1,2,0,3.333333333,Serbs,violent
Brácaros,violento,2,1,0,3.333333333,Bracaros,violent
equatoguineenses,governantes corruptos,1,2,0,3.333333333,equatoguineans,corrupt rulers
Braguesas,boxer,2,1,0,-1,Braguesas,boxer
marroquinos,fediam,1,2,0,3,Moroccans,they stank
Bragançanos,sanguinários,2,1,0,3,Bragançanos,bloodthirsty
afegãos,adoram a guerra,2,1,0,3,Afghans,love war
coreanos,ditadores,1,2,0,3,Koreans,dictators
Marroquina,fediam,1,2,0,3,Moroccan,they stank
norte-coreana,ditadores,1,2,0,3,North Korean,dictators
sul-africanos,racista,0,3,0,3,South Africans,racist
irlandeses,beberrão,0,3,0,3,Irish,drunkard
romenos,cigano,0,3,0,2.666666667,Romanians,Gypsy
braguesas,brega,2,1,0,2.333333333,braguesas,corny
zambiana,gorda,2,1,0,2.666666667,Zambian,fat
Americanas,gordo,0,3,0,2.666666667,Americans,fat
Romena,cigano,0,3,0,2.666666667,Romanian,Gypsy
Bragancesas,alegre,2,1,0,-1,Bragancesas,happy
Kuwaitiana,gorda,2,1,0,2.666666667,Kuwaiti,fat
Aveirenses,alcóolico,2,1,0,2.666666667,Aveirenses,alcoholic
americanos,obeso,0,3,0,2.666666667,Americans,obese
Bragançanas,acolhedora,2,1,0,-1,Bragançanas,welcoming
belgas,gordo,2,1,0,2.666666667,Belgians,fat
Salvadorenhas,gorda,2,1,0,2.666666667,Salvadoran,fat
somalis,pirata,0,3,0,2.666666667,Somalis,pirate
malgaxes,selvagem,2,1,0,2.666666667,Malagasy,wild
braguesas,confortáveis,2,1,0,-1,braguesas,comfortable
Búlgaras,gorda,1,2,0,2.666666667,Bulgarians,fat
norte-coreana,obcecados com armas,1,2,0,2.666666667,North Korean,obsessed with weapons
Brácaros,primitivo,1,2,0,2.666666667,Bracaros,primitive
norte-coreana,stalinista,1,2,0,2.666666667,North Korean,Stalinist
americanos,gordo,0,3,0,2.666666667,Americans,fat
Crimeanas,pirata,1,2,0,2.666666667,Crimeans,pirate
Bragantinos,arrogante,2,1,0,2.333333333,Bragantinos,arrogant
Bragançanas,alegre,2,1,0,-1,Bragançanas,happy
bragantinas,arrogante,2,1,0,2.333333333,bragantinas,arrogant
braguesas,confortável,2,1,0,-1,braguesas,comfortable
Americanas,gananciosa,1,2,0,2.333333333,Americans,greedy
americanos,arrogante,1,2,0,2.333333333,Americans,arrogant
irlandeses,beberrões,0,3,0,2.333333333,Irish,drunkards
Crimeanas,criminoso,1,2,0,2.333333333,Crimeans,criminal
russos,beberrões,0,3,0,2.333333333,Russians,drunkards
bragancesas,arrogante,2,1,0,2.333333333,bragancesas,arrogant
Braguesas,corajoso,2,1,0,-1,Braguesas,brave
Bragançanos,arrogante,2,1,0,2.333333333,Bragançanos,arrogant
brasileiros,mestiço,0,3,0,2.333333333,Brazilians,mixed race
sérvios,agressivo,1,2,0,2.333333333,Serbs,aggressive
Escalabitanos,ambicioso,1,2,0,-1,Escalabitans,ambitious
Brasileira,mestiço,0,3,0,2.333333333,Brazilian,mixed race
Vila-realenses,azeiteiro,2,1,0,2.333333333,Vila-realenses,olive oil seller
Bragancesas,autoritário,2,1,0,1,Bragancesas,authoritarian
irlandeses,bebuns,0,3,0,2,Irish,babies
mauritana,escravista,2,1,0,2,Mauritania,slave
peruanos,índio,1,2,0,2,Peruvians,Indian
Bragançanas,aristocráticas,2,1,0,-1,Bragançanas,aristocratic
Argentinas,machista,2,1,0,2,Argentina,male chauvinist
Bracaraugustanas,acolhedora,2,1,0,-1,Bracaraugustanas,welcoming
bragançanas,arrogante,2,1,0,2.333333333,bragançanas,arrogant
norte-coreana,antiamericano,0,3,0,2,North Korean,anti-American
brasileiros,miscigenado,1,2,0,2,Brazilians,mixed race
argentinos,machista,2,1,0,2,Argentines,male chauvinist
chineses,comiam cachorro,1,2,0,2,Chinese,ate dog
Espanhola,falastrões,1,2,0,1.666666667,Spanish,loudmouths
afegãos,hostis,0,3,0,1.666666667,Afghans,hostile
Braguesas,curtas,2,1,0,-1,Braguesas,short
Italiana,ciumenta,2,1,0,1.666666667,Italian,jealous
escoceses,bagpipes,1,2,0,-1,Scottish,bagpipes
espanhóis,falastrões,2,1,0,1.666666667,Spanish,loudmouths
Mexicanos,gostam de tequila,0,3,0,1.666666667,Mexicans,they like tequila
irlandeses,bebedor,0,3,0,1.666666667,Irish,drinker
colimbrienses,obcecados,2,1,0,1.666666667,colimbrienses,obsessed
britânicos,beberam muito,2,1,0,1.666666667,British people,they drank a lot
americanos,egoísta,0,3,0,1.666666667,Americans,selfish
Bragantinos,fanfarrões,2,1,0,1.666666667,Bragantinos,bucks
Bragantinos,fanfarrão,2,1,0,1.666666667,Bragantinos,bully
Americanas,egoísta,1,2,0,1.666666667,Americans,selfish
britânicos,esnobe,0,3,0,1.666666667,British people,snob
Mexicana,gostam de tequila,0,3,0,1.666666667,Mexican,they like tequila
Inglês,esnobe,1,2,0,1.666666667,English,snob
Brigantinos,velha,2,1,0,1.666666667,Brigantines,old
Britânica,esnobe,1,2,0,1.666666667,British,snob
irlandeses do norte,bebem muito,0,3,0,1.666666667,northern irish,they drink a lot
irlandeses,bebem muito,0,3,0,1.666666667,Irish,they drink a lot
americanos,prepotentes,1,2,0,1.666666667,Americans,arrogant
Americanas,prepotentes,1,2,0,1.666666667,Americans,arrogant
Brácaros,barulhentos,2,1,0,1.666666667,Bracaros,noisy
Centro-Africana,negro,1,2,0,1.333333333,Central African,black
angolanos,negro,1,2,0,1.333333333,Angolans,black
nigerianos,negro,1,2,0,1.333333333,Nigerians,black
Galeses,bêbado,0,3,0,1.333333333,Welsh,drunk
Moçambicanos,negro,1,2,0,1.333333333,Mozambicans,black
norte-coreana,obcecada,2,1,0,1.333333333,North Korean,obsessed
equatoguineenses,negro,1,2,0,1.333333333,equatoguineans,black
Colombiana,seios grandes,1,2,0,1.333333333,Colombian,busty
americanos,materialista,0,3,0,1.333333333,Americans,materialistic
Guianenses,negro,1,2,0,1.333333333,Guyanese,black
Congolesa,negro,1,2,0,1.333333333,Congolese,black
Angolana,negro,1,2,0,1.333333333,Angolan,black
Senegalesa,negro,1,2,0,1.333333333,Senegalese,black
marroquinos,escuras,0,3,0,1.333333333,Moroccans,dark
camaroneses,negro,1,2,0,1.333333333,Cameroonians,black
Cabo-verdianos,negro,1,2,0,1.333333333,Cape Verdeans,black
surinameses,negro,1,2,0,1.333333333,Surinamese,black
americanos,egocêntricos,0,3,0,1.333333333,Americans,egocentric
Russa,bêbado,0,3,0,1.333333333,Russian,drunk
senegaleses,negro,1,2,0,1.333333333,Senegalese,black
suazis,negro,2,1,0,1.333333333,Swazis,black
Guineenses,negro,1,2,0,1.333333333,Guineans,black
Braguesas,desconfortáveis,2,1,0,-0.3333333333,Braguesas,uncomfortable
congoleses,negro,1,2,0,1.333333333,Congolese,black
mauritanos,negro,1,2,0,1.333333333,Mauritanians,black
