identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list
acrianas,gorda,1,2,0,4,acrianas,fat
gaúchas,gorda,2,1,0,4,gaúchas,fat
belgas,gordo,2,1,0,4,Belgians,fat
Americanas,gordo,0,3,0,4,Americans,fat
Crimeanas,ladrões,0,3,0,4,Crimeans,thieves
mineiranos,obesa,2,1,0,4,Minas Gerais,obese
Búlgaras,gorda,2,1,0,4,Bulgarians,fat
zambiana,gorda,2,1,0,4,Zambian,fat
sul-africanos,racista,1,1,1,4,South Africans,racist
mineiranos,gorda,1,2,0,4,Minas Gerais,fat
colombianos,drogados,1,2,0,4,Colombians,drug addicts
surinameses,traficantes de drogas,1,2,0,4,Surinamese,drug dealer
americanos,gordo,1,2,0,4,Americans,fat
Kuwaitiana,gorda,2,1,0,4,Kuwaiti,fat
alemães,nazista,1,2,0,4,Germans,Nazi
Salvadorenhas,gorda,2,1,0,4,Salvadoran,fat
colombianos,traficantes de drogas,1,2,0,4,Colombians,drug dealer
Crimeanos,bandidos,0,2,1,3.666666667,Crimeans,bandits
nigerianos,traficante,1,2,0,3.666666667,Nigerians,drug dealer
Colombiana,traficante,1,2,0,3.666666667,Colombian,drug dealer
colombianos,traficante,1,2,0,3.666666667,Colombians,drug dealer
americanos,obeso,0,3,0,3.666666667,Americans,obese
Crimeanas,bandidos,0,3,0,3.666666667,Crimeans,bandits
rondonianas,feia,2,1,0,3.333333333,Rondonianas,ugly
Piauiense,feio,0,3,0,3.333333333,Piauí,ugly
Crimeanas,criminoso,0,3,0,3.333333333,Crimeans,criminal
alagoanos,feio,2,1,0,3.333333333,alagoas,ugly
coreanos,ditadores,0,2,1,3.333333333,Koreans,dictators
goianas,gostosa,1,2,0,3.333333333,goianas,delicious
paraibanos,tinham muitas raparigas,1,1,1,3.333333333,Paraíba,there were a lot of girls
irlandeses,beberrões,1,2,0,3.333333333,Irish,drunkards
mineiranos,feio,1,2,0,3.333333333,Minas Gerais,ugly
russos,beberrões,0,3,0,3.333333333,Russians,drunkards
equatoguineenses,governantes corruptos,1,2,0,3.333333333,equatoguineans,corrupt rulers
gaúcho,alegre,1,2,0,-1,gaucho,happy
sergipanes,corrupto,2,1,0,3.333333333,sergipanes,corrupt
norte-coreana,ditadores,1,2,0,3.333333333,North Korean,dictators
nigerianos,corrupto,1,2,0,3.333333333,Nigerians,corrupt
paraibanas,feia,2,1,0,3.333333333,paraibanas,ugly
sergipanas,feia,2,1,0,3.333333333,sergipanas,ugly
pernambucanos,acolhedores,0,3,0,-1,Pernambuco,welcoming
malgaxes,animal,1,1,1,3,Malagasy,animal
brasiliense,arrogante,1,2,0,3,brasiliense,arrogant
Colombiana,narcotraficantes,0,3,0,3,Colombian,drug traffickers
gaúchas,peitudas,2,1,0,3,gaúchas,busty
americanos,arrogante,1,2,0,3,Americans,arrogant
colombianos,narcotraficantes,1,2,0,3,Colombians,drug traffickers
Argentinas,machista,2,1,0,3,Argentina,male chauvinist
russos,rude,1,2,0,3,Russians,rude
paraibanos,burro,0,2,1,3,Paraíba,dumb
gaúcho,amante da carne,0,3,0,-1,gaucho,meat lover
sérvios,violento,1,2,0,3,Serbs,violent
argentinos,machista,1,2,0,3,Argentines,male chauvinist
Guianenses,ilegal,1,2,0,3,Guyanese,illegal
Americanas,gananciosa,0,3,0,2.666666667,Americans,greedy
camaroneses,negro,0,3,0,2.333333333,Cameroonians,black
Galeses,bêbado,1,2,0,2.333333333,Welsh,drunk
