identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list
Afghans,taliban,1,2,0,3.666666667,Afghans,Taliban
Rwandais,génocidaire,1,2,0,3.333333333,Rwandan,genocidal
Algériens,terroriste,1,2,0,3.333333333,Algerians,terrorist
Irakiens,terroriste,1,2,0,3.333333333,Iraqis,terrorist
Afghans,terroriste,1,2,0,3.333333333,Afghans,terrorist
Colombiens,trafiquants de drogue,1,2,0,3.333333333,Colombians,drug traffickers
Rwandais,sanguinaire,1,2,0,3.333333333,Rwandan,bloodthirsty
Libyen,terroriste,2,1,0,3.333333333,Libyan,terrorist
Palestiniens,terroriste,2,1,0,3.333333333,Palestinians,terrorist
Pakistanais,terroriste,1,1,1,3.333333333,Pakistani,terrorist
Roumain,voleur,0,3,0,3,Romanian,thief
Albanais,voleur,1,2,0,3,Albanian,thief
Albanais,sont des voleurs,1,2,0,3,Albanian,are thieves
Albanais,criminel,1,2,0,3,Albanian,criminal
Normands,barbare,2,1,0,3,Normans,barbaric
Criméens,criminel,2,1,0,3,Crimeans,criminal
Mongol,barbare,1,1,1,3,Mongolian,barbaric
Alsaciens,nazis,2,1,0,3,Alsatians,Nazis
Américains,gros,0,3,0,2.666666667,Americans,fat
Sud-Africains,raciste,0,3,0,2.666666667,South Africans,racist
Russes,alcoolique,0,3,0,2.666666667,Russians,alcoholic
Corses,bandits,0,3,0,2.666666667,Corsica,bandits
Colombiens,trafiquant,1,2,0,2.666666667,Colombians,trafficker
Irlandais,alcoolique,1,2,0,2.666666667,Irish,alcoholic
Lituanien,alcoolique,2,1,0,2.666666667,Lithuanian,alcoholic
Calaisiens,raciste,2,1,0,2.666666667,Calaisians,racist
Limousins,gros,2,1,0,2.666666667,Limousins,fat
Philippins,arriérées,2,1,0,2.666666667,Filipinos,arrears
Lorrains,raciste,2,1,0,2.666666667,Lorraine,racist
Limousins,grosse,2,1,0,2.666666667,Limousins,fat
Corses,voyous,2,1,0,2.666666667,Corsica,thugs
Corses,belliqueux,0,3,0,2.333333333,Corsica,warlike
Corses,violent,0,3,0,2.333333333,Corsica,violent
Britanniques,colonisateur,1,2,0,2.333333333,British,colonizer
Serbes,violent,1,2,0,2.333333333,Serbs,violent
Serbes,belliqueux,1,2,0,2.333333333,Serbs,warlike
Corses,sauvage,1,2,0,2.333333333,Corsica,savage
Américains,stupide,1,2,0,2.333333333,Americans,stupid
Normands,violent,2,1,0,2.333333333,Normans,violent
Aquitains,belliqueux,2,1,0,2.333333333,Aquitaine,warlike
Picto-Charentais,belliqueux,2,1,0,2.333333333,Picto-Charentais,warlike
