identity,attribute,non_stereotype,stereotype,unsure,mean_offensive_score,translated_identity,translated_attribute_list
Afghanen,terroristen,1,2,0,4,Afghans,terrorists
Rwandees,genocide,0,3,0,4,Rwandan,genocide
Palestijns,terroristen,1,2,0,4,Palestinian,terrorists
Libisch,dictator,1,2,0,3.666666667,Libyan,dictator
Koreanen,dictator,1,2,0,3.666666667,Koreans,dictator
Koreanen,dictatoriaal,0,3,0,3.333333333,Koreans,dictatorial
Noord-Iers,gewelddadig,1,2,0,3.333333333,Northern Irish,violent
Amerikanen,dick,0,3,0,3.333333333,Americans,Dick
Equatoriaal-Guinees,corrupt,2,1,0,3.333333333,Equatorial Guinean,corrupt
Bosniërs,oorlogszuchtig,0,3,0,3,Bosnians,belligerent
Irakees,oorlogszuchtig,0,3,0,3,Iraqi,belligerent
Colombiaanse,drugshandel,0,3,0,3,Colombian,drug trafficking
Syrisch,oorlogszuchtig,0,3,0,3,Syrian,belligerent
Colombiaanse,drugsdealer,0,3,0,3,Colombian,drug dealer
Zuid-Soedanezen,oorlogszuchtig,0,3,0,3,South Sudanese,belligerent
Colombiaanse,drugshandelaar,0,3,0,3,Colombian,drug trafficker
Zeeuwen,kaalkop,1,2,0,2.666666667,Zeelanders,baldhead
Koreanen,totalitair,0,3,0,2.666666667,Koreans,totalitarian
Koreanen,dictatorial,0,3,0,2.666666667,Koreans,dictatorial
Pakistaans,stinken,1,2,0,2.666666667,Pakistani,stink
Serviërs,agressief,1,2,0,2.333333333,Serbs,aggressive
Mensen uit Noord-Holland,arrogant,1,2,0,2.333333333,People from North Holland,arrogant
Belgisch,gemeen,1,2,0,2.333333333,Belgian,mean
Mensen uit Utrecht,arrogant,1,2,0,2.333333333,People from Utrecht,arrogant
Hollandsen,arrogant,0,3,0,2.333333333,Hollandsen,arrogant
Engels,arrogant,0,3,0,2.333333333,English,arrogant
Amerikanen,offensiv,0,3,0,2.333333333,Americans,offensive
Mensen uit Zuid-Holland,arrogant,0,3,0,2.333333333,People from South Holland,arrogant
Amsterdammers,arrogant,1,2,0,2.333333333,Amsterdammers,arrogant
Fransen,arrogant,0,3,0,2.333333333,French,arrogant
Utrechtsen,arrogant,0,3,0,2.333333333,Utrechtsen,arrogant
Utrechters,arrogant,0,3,0,2.333333333,Utrecht,arrogant
